u	v	score
ENSG00000000419	ENSG00000124207	0.7243914809714621
ENSG00000000460	ENSG00000066279	0.730975539157519
ENSG00000000460	ENSG00000080839	0.7139681602625031
ENSG00000000460	ENSG00000088325	0.7298211316009985
ENSG00000000460	ENSG00000101407	0.703661750825564
ENSG00000000460	ENSG00000112742	0.7168417631378435
ENSG00000000460	ENSG00000116698	0.7015285580503543
ENSG00000000460	ENSG00000117724	0.7309718735958747
ENSG00000000460	ENSG00000118193	0.7639891819937366
ENSG00000000460	ENSG00000120334	0.7504580634789099
ENSG00000000460	ENSG00000135829	0.7619017333051322
ENSG00000000460	ENSG00000143493	0.7001673963729235
ENSG00000000460	ENSG00000169679	0.7354167728839923
ENSG00000000460	ENSG00000198700	0.7153427013484447
ENSG00000000938	ENSG00000043462	0.7449631190115731
ENSG00000000938	ENSG00000085514	0.7592689368553782
ENSG00000000938	ENSG00000101336	0.7923470712877075
ENSG00000000938	ENSG00000116701	0.7393470656038644
ENSG00000000938	ENSG00000129450	0.7775890640670351
ENSG00000000938	ENSG00000133246	0.7048650779365955
ENSG00000000938	ENSG00000140678	0.823653525667195
ENSG00000000938	ENSG00000141506	0.7085819556783192
ENSG00000000938	ENSG00000142347	0.7931302884348023
ENSG00000000938	ENSG00000160883	0.7107652450336145
ENSG00000000938	ENSG00000167613	0.7001644750891193
ENSG00000000938	ENSG00000168995	0.7052674496904241
ENSG00000000938	ENSG00000175489	0.7328384815328647
ENSG00000000971	ENSG00000169554	0.7361849827786008
ENSG00000001629	ENSG00000001630	0.8616876583693498
ENSG00000001629	ENSG00000001631	0.9568915341377445
ENSG00000001629	ENSG00000105810	0.9126544829802494
ENSG00000001629	ENSG00000127914	0.7549395358541745
ENSG00000001629	ENSG00000127980	0.9488486993605766
ENSG00000001629	ENSG00000127993	0.9061556198371153
ENSG00000001629	ENSG00000157259	0.9352235963166639
ENSG00000001629	ENSG00000234545	0.7820077355234105
ENSG00000001630	ENSG00000001631	0.8916260993164532
ENSG00000001630	ENSG00000105810	0.8327351541811968
ENSG00000001630	ENSG00000127980	0.8846881799117751
ENSG00000001630	ENSG00000127993	0.9170356878198881
ENSG00000001630	ENSG00000157259	0.9221423086728827
ENSG00000001630	ENSG00000234545	0.7716081817142595
ENSG00000001631	ENSG00000105810	0.8695723022956913
ENSG00000001631	ENSG00000127980	0.9302688219097366
ENSG00000001631	ENSG00000127993	0.9461252418315999
ENSG00000001631	ENSG00000157259	0.956742462909618
ENSG00000001631	ENSG00000234545	0.8001537875551309
ENSG00000002549	ENSG00000090339	0.7351921592217157
ENSG00000002549	ENSG00000100453	0.7567588709356643
ENSG00000002549	ENSG00000111537	0.7858617617992396
ENSG00000002549	ENSG00000117560	0.7550766817027709
ENSG00000002549	ENSG00000125347	0.7299212781751058
ENSG00000002549	ENSG00000138755	0.7789312181237006
ENSG00000002549	ENSG00000140105	0.7874515895689315
ENSG00000002549	ENSG00000169245	0.8213283533646175
ENSG00000002549	ENSG00000169248	0.7253876761317846
ENSG00000002549	ENSG00000180644	0.701000544210523
ENSG00000002834	ENSG00000275023	0.7279046683008813
ENSG00000003436	ENSG00000181773	0.7366726117648567
ENSG00000003756	ENSG00000004534	0.7596221232175879
ENSG00000003756	ENSG00000100201	0.7160023425730531
ENSG00000003756	ENSG00000114857	0.8103904425103328
ENSG00000003756	ENSG00000162601	0.7237690261162236
ENSG00000003987	ENSG00000102466	0.7271199558530576
ENSG00000003987	ENSG00000109472	0.744848118773622
ENSG00000003987	ENSG00000116675	0.7134802600749651
ENSG00000003987	ENSG00000125861	0.8519302725187492
ENSG00000003987	ENSG00000132872	0.8912059815293172
ENSG00000003987	ENSG00000132938	0.8350072702550785
ENSG00000003987	ENSG00000135346	0.778088199377818
ENSG00000003987	ENSG00000139352	0.732893121289321
ENSG00000003987	ENSG00000141433	0.7045087402145583
ENSG00000003987	ENSG00000141837	0.7653698184439147
ENSG00000003987	ENSG00000145087	0.7335231358600881
ENSG00000003987	ENSG00000147613	0.7274429543023276
ENSG00000003987	ENSG00000152192	0.7300907122832818
ENSG00000003987	ENSG00000153721	0.7985715369664255
ENSG00000003987	ENSG00000162374	0.7887988590262707
ENSG00000003987	ENSG00000162399	0.7275454782937422
ENSG00000003987	ENSG00000164061	0.727182313543728
ENSG00000003987	ENSG00000164929	0.8998009203104522
ENSG00000003987	ENSG00000165553	0.707814343334775
ENSG00000003987	ENSG00000167037	0.7292039323358153
ENSG00000003987	ENSG00000168280	0.776882551927729
ENSG00000003987	ENSG00000169213	0.7251944496956121
ENSG00000003987	ENSG00000173404	0.7482942287160262
ENSG00000003987	ENSG00000175175	0.7069411027526001
ENSG00000003987	ENSG00000178695	0.7049713860044574
ENSG00000003987	ENSG00000183715	0.7163846532518306
ENSG00000003987	ENSG00000203972	0.8874796056946188
ENSG00000003989	ENSG00000004948	0.9212583314561816
ENSG00000003989	ENSG00000036565	0.9532713622994625
ENSG00000003989	ENSG00000054356	0.8096917182916215
ENSG00000003989	ENSG00000077264	0.903004620277849
ENSG00000003989	ENSG00000082397	0.8019259595468404
ENSG00000003989	ENSG00000104723	0.8317179162065942
ENSG00000003989	ENSG00000104760	0.8987932103569656
ENSG00000003989	ENSG00000109472	0.8389376463211806
