Term_ID	DB
R-HSA-449147	Reactome
R-HSA-5693616	Reactome
R-HSA-5693537	Reactome
R-HSA-5423599	Reactome
R-HSA-9664565	Reactome
R-HSA-186797	Reactome
R-HSA-1059683	Reactome
R-HSA-190236	Reactome
R-HSA-9703648	Reactome
R-HSA-2219530	Reactome
R-HSA-9671555	Reactome
R-HSA-6811558	Reactome
R-HSA-1643685	Reactome
R-HSA-5218921	Reactome
R-HSA-73894	Reactome
R-HSA-9649948	Reactome
R-HSA-9009391	Reactome
R-HSA-9018519	Reactome
R-HSA-5663202	Reactome
R-HSA-8853659	Reactome
R-HSA-5218920	Reactome
R-HSA-912631	Reactome
R-HSA-2428924	Reactome
R-HSA-2262752	Reactome
R-HSA-5637812	Reactome
R-HSA-9006931	Reactome
R-HSA-9701192	Reactome
R-HSA-9665348	Reactome
R-HSA-6802949	Reactome
R-HSA-389356	Reactome
R-HSA-74160	Reactome
R-HSA-9670439	Reactome
R-HSA-2424491	Reactome
R-HSA-9673767	Reactome
R-HSA-5655253	Reactome
R-HSA-6802957	Reactome
R-HSA-2682334	Reactome
R-HSA-5693579	Reactome
R-HSA-9704646	Reactome
R-HSA-198203	Reactome
R-HSA-5655332	Reactome
R-HSA-1643713	Reactome
R-HSA-5654708	Reactome
R-HSA-201556	Reactome
R-HSA-5633007	Reactome
R-HSA-6783310	Reactome
R-HSA-1640170	Reactome
R-HSA-9607240	Reactome
R-HSA-1912422	Reactome
R-HSA-5684996	Reactome
R-HSA-177929	Reactome
R-HSA-9701193	Reactome
R-HSA-2990846	Reactome
R-HSA-8848021	Reactome
R-HSA-8953897	Reactome
R-HSA-451927	Reactome
R-HSA-5654736	Reactome
R-HSA-3928662	Reactome
R-HSA-1266738	Reactome
R-HSA-5674135	Reactome
R-HSA-195258	Reactome
R-HSA-195721	Reactome
R-HSA-1257604	Reactome
R-HSA-9656223	Reactome
R-HSA-5683057	Reactome
R-HSA-3247509	Reactome
R-HSA-3108214	Reactome
R-HSA-422475	Reactome
R-HSA-5693568	Reactome
R-HSA-1227990	Reactome
R-HSA-187687	Reactome
R-HSA-9669938	Reactome
R-HSA-6802955	Reactome
R-HSA-194315	Reactome
R-HSA-4839726	Reactome
R-HSA-114604	Reactome
R-HSA-5654716	Reactome
