No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;CTNNB1;0.002977595;x
2;EGFR;0.002413914;x
3;LGR5;0.002180223;x
4;TP53;0.001936314;x
5;AR;0.00163041;x
6;ERBB2;0.001621718;x
7;FYN;0.001585832;x
8;IL12RB2;0.00157299;#N/A
9;LTK;0.00155861;x
10;SOX1;0.001550214;#N/A
11;PROP1;0.00154473;#N/A
12;CDH8;0.00154473;#N/A
13;RAF1;0.001540206;x
14;DDC;0.001509227;#N/A
15;SPHK2;0.001500614;#N/A
16;ARHGAP33;0.001491079;#N/A
17;EP300;0.001466919;x
18;FRS2;0.001458513;x
19;PSD2;0.001457801;#N/A
20;ALB;0.001444831;#N/A
21;GRB2;0.001435228;#N/A
22;VEGFC;0.001428952;#N/A
23;SCN8A;0.001409564;#N/A
24;ERAS;0.001397537;#N/A
25;SMC1B;0.001389915;#N/A
26;PIK3R1;0.001383302;x
27;EPS8L3;0.001382605;#N/A
28;GPNMB;0.001379113;#N/A
29;PIWIL2;0.001378901;#N/A
30;SULT1E1;0.001367529;#N/A
31;HSP90AA1;0.001348934;x
32;PIK3CB;0.001340758;x
33;PROM1;0.001339227;#N/A
34;PIWIL3;0.001333309;#N/A
35;ETV4;0.001314801;x
36;BRCA2;0.001311653;x
37;DCAF4L1;0.001306621;#N/A
38;BRIP1;0.001296375;x
39;WNT11;0.001270783;#N/A
40;EZH2;0.001266959;x
41;APOC2;0.001259117;#N/A
42;ESR1;0.001252981;x
43;SUZ12;0.001251985;x
44;PDGFA;0.001248415;#N/A
45;FANCA;0.001246204;x
46;CDH2;0.00124222;x
47;JAG1;0.001228606;#N/A
48;SHC1;0.001216943;#N/A
49;SHC4;0.001213277;#N/A
50;CREBBP;0.001170793;x
51;FANCD2;0.001167375;x
52;SRC;0.001150975;x
53;GRB7;0.001150941;x
54;H1-2;0.001147158;#N/A
55;MYB;0.001142558;x
56;DNMT1;0.001140627;x
57;ZNRF3;0.001124423;x
58;ESRRB;0.001116116;#N/A
59;CCND1;0.001113129;x
60;DNMT3A;0.001111668;x
61;BRCA1;0.001109294;x
62;RET;0.001105556;x
63;FANCB;0.001089829;#N/A
64;ALK;0.001083811;x
65;TRIM24;0.001078221;#N/A
66;FANCE;0.001075969;x
67;H2BC5;0.001069536;#N/A
68;ASXL1;0.001059805;x
69;DICER1;0.001050511;x
70;SOX2;0.001040151;x
71;EFNA2;0.001039812;#N/A
72;CD274;0.001032354;x
73;GRB14;0.001031197;#N/A
74;ACTB;0.001027794;#N/A
75;PRKDC;0.001024556;x
76;DNMT3B;0.001010269;x
77;CA9;0.00100421;#N/A
78;DEK;0.000994564;x
79;NTRK2;0.000989485;x
80;MYLK4;0.000989235;#N/A
81;ARHGDIG;0.00098838;#N/A
82;ERBB4;0.000980276;x
83;H2AC6;0.000970164;#N/A
84;FGF5;0.000969675;x
85;CDH9;0.000962384;#N/A
86;CDH18;0.000960944;#N/A
87;MALT1;0.000955865;#N/A
88;CDKL4;0.000954143;#N/A
89;MYO7A;0.000947719;#N/A
90;HNF1A;0.000945941;x
91;TFRC;0.000945007;#N/A
92;CUL4A;0.000944374;x
93;HDAC1;0.000943731;x
94;TBL1XR1;0.000943196;x
95;PAX6;0.000938131;#N/A
96;NOTCH1;0.000935363;x
97;ETV5;0.000928882;x
98;KSR2;0.000928285;x
99;MYCN;0.000925655;x
100;SRY;0.00091963;#N/A
101;JAK2;0.000919411;x
102;ROS1;0.000915439;x
103;WIF1;0.000914871;x
104;PLCG1;0.000912467;x
105;SMAD4;0.000911205;x
106;MET;0.000907785;x
107;FGFR1;0.000904856;x
108;RAD21;0.00090438;x
109;BAALC;0.000894733;x
110;EN1;0.000892936;#N/A
111;PDCD1LG2;0.000889629;x
112;IRS4;0.000888096;#N/A
113;DROSHA;0.00088556;#N/A
114;EWSR1;0.000875951;x
115;PGF;0.000873996;#N/A
116;PDGFRB;0.000873809;x
117;NR1H4;0.000873252;#N/A
118;FGF14;0.000870155;x
119;FGFR2;0.000868867;x
120;PTCH1;0.000867647;x
121;CBL;0.000857207;x
122;RAD54L;0.000856839;#N/A
123;STIL;0.00085629;#N/A
124;MUC1;0.000853106;#N/A
125;RHOA;0.000852423;x
126;GTSE1;0.000852146;#N/A
127;FGF3;0.000851046;x
128;CAD;0.000850989;x
129;STAT3;0.000850064;x
130;CDX2;0.000847574;#N/A
131;TRAF2;0.000847458;#N/A
132;KDR;0.000844906;x
133;KYNU;0.000841425;#N/A
134;TRIP13;0.000837098;x
135;RAC3;0.000831167;#N/A
136;TLE1;0.00083091;#N/A
137;MUC16;0.000830605;#N/A
138;CDK2;0.000829227;#N/A
139;AMY2A;0.000827907;#N/A
140;HIF1A;0.00082632;x
141;POU3F2;0.000825904;x
142;MAPK3;0.000825264;x
143;SIRPB1;0.000824744;#N/A
144;POT1;0.000818351;x
145;GSK3B;0.000818139;x
146;ANOS1;0.000816242;#N/A
147;SMAD3;0.000811911;x
148;GRM3;0.000811543;#N/A
149;RMI2;0.000807307;#N/A
150;RB1;0.000806589;x
151;SFRP4;0.000804244;#N/A
152;RASL10A;0.000801626;#N/A
153;CDC42;0.000797629;x
154;HOXC10;0.000796879;#N/A
155;AKT1;0.000796132;x
156;HSP90AB1;0.000794424;#N/A
157;MDM2;0.000790531;x
158;BLM;0.000790441;x
159;SETD5;0.000789667;#N/A
160;SMC3;0.000788816;x
161;PDX1;0.000788101;#N/A
162;CCL18;0.000783979;#N/A
163;LZTR1;0.00078182;x
164;PMS2;0.000781324;x
165;CRYBA2;0.000779694;#N/A
166;FGFR3;0.000779259;x
167;H1-5;0.000779168;x
168;H3C2;0.00077772;#N/A
169;TLX3;0.000775368;x
170;COL2A1;0.000774813;x
171;EPHA8;0.000771823;#N/A
172;ATM;0.000770698;x
173;PML;0.000768661;x
174;ACTG1;0.000767889;x
175;DEPDC1B;0.000767618;#N/A
176;PDGFRA;0.000765556;x
177;IKBKB;0.000764275;#N/A
178;SOX9;0.000761849;x
179;ONECUT1;0.000757652;#N/A
180;PTPRR;0.000757311;#N/A
181;PIK3CA;0.00075606;x
182;CHGB;0.000753196;#N/A
183;PAX3;0.000752142;x
184;CDH1;0.000750261;x
185;DDX4;0.000749077;x
186;GMPS;0.000748661;#N/A
187;PIK3R3;0.000747289;x
188;RUNX1;0.000744596;x
189;SMARCA4;0.000744352;x
190;INSR;0.000743141;x
191;ATF5;0.000741379;#N/A
192;ABL1;0.000738922;x
193;FLT4;0.000738568;x
194;TNFRSF19;0.000737129;#N/A
195;NKX2-1;0.000737042;x
196;PMS1;0.000736428;x
197;RELA;0.000734985;#N/A
198;HRAS;0.000732851;x
199;H1-4;0.000729913;x
200;PIK3CG;0.000729446;x
201;POLQ;0.00072846;#N/A
202;WNT7A;0.000725593;#N/A
203;RAC1;0.000724909;x
204;EPHB2;0.000723496;#N/A
205;SALL4;0.000722935;#N/A
206;STAT4;0.000722438;x
207;NCOA2;0.00072178;#N/A
208;TRIB3;0.000720282;x
209;NCSTN;0.000720058;x
210;PARP14;0.000719865;#N/A
211;MYC;0.000719344;x
212;ABI1;0.000718978;#N/A
213;SOS1;0.000717862;x
214;PARP1;0.000715559;x
215;CDKN1A;0.000715336;x
216;TRIM72;0.00071525;#N/A
217;EXT1;0.000714832;x
218;IRS1;0.000714781;x
219;CTNNA1;0.000713637;x
220;FLT1;0.000712426;x
221;TFF2;0.000712187;#N/A
222;NCOR1;0.000710709;x
223;APC;0.000710663;x
224;FANCM;0.000710312;x
225;NFKBIA;0.000705846;x
226;NKX2-5;0.000705391;#N/A
227;BCOR;0.000704346;x
228;SYK;0.00069977;x
229;SIX3;0.00069907;#N/A
230;GAB1;0.00069735;x
231;CDK6;0.000697239;x
232;SUMO2;0.000695512;#N/A
233;MYH9;0.000694519;#N/A
234;ST3GAL6;0.000692827;#N/A
235;RAD51;0.000692759;x
236;EPHA4;0.0006926;#N/A
237;CLTC;0.00069241;#N/A
238;MTOR;0.000691904;x
239;MKRN2;0.00069118;#N/A
240;CDH3;0.000688012;#N/A
241;RXRA;0.000686992;#N/A
242;FANCI;0.000686556;#N/A
243;FOXA1;0.000685387;x
244;CCNB3;0.000682266;x
245;TOP2A;0.000679834;x
246;SIGLEC5;0.000679198;#N/A
247;KIT;0.000677728;x
248;NCOA1;0.000677233;#N/A
