No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;TP53;0.004512313;x
2;EGFR;0.004179504;x
3;CTNNB1;0.003583381;x
4;GRB2;0.003486101;#N/A
5;PIK3R1;0.0029642;x
6;EP300;0.002876813;x
7;HDAC1;0.00264231;x
8;MYC;0.002548517;x
9;ESR1;0.00251492;x
10;SRC;0.002363347;x
11;AKT1;0.002142504;x
12;BRCA1;0.002076554;x
13;HSP90AA1;0.002030038;x
14;RELA;0.001992834;#N/A
15;RAF1;0.001917802;x
16;CREBBP;0.001890682;x
17;AR;0.001851006;x
18;SNW1;0.001777726;#N/A
19;SUMO2;0.001774622;#N/A
20;YWHAB;0.001715425;#N/A
21;FN1;0.001695378;#N/A
22;ERBB2;0.00167576;x
23;JUN;0.001659528;x
24;FYN;0.001635259;x
25;HDAC2;0.001601371;x
26;MAPK1;0.001591781;x
27;SHC1;0.001591469;#N/A
28;MDM2;0.001536704;x
29;MET;0.001533579;x
30;CDK2;0.001454566;#N/A
31;SMAD3;0.00139408;x
32;STAT3;0.001350277;x
33;PIK3R2;0.001311673;x
34;SUMO1;0.001307091;#N/A
35;YWHAZ;0.001290385;#N/A
36;PTPN11;0.001252921;x
37;NOTCH1;0.001225186;x
38;SMAD4;0.001186258;x
39;SCN8A;0.001176107;#N/A
40;ALB;0.001168966;#N/A
41;PLCG1;0.001148217;x
42;MAPK3;0.001147613;x
43;FGF14;0.001103612;x
44;RB1;0.001092493;x
45;H2AX;0.00108253;#N/A
46;PIK3CA;0.001077107;x
47;CBL;0.001060651;x
48;TRAF2;0.001049147;#N/A
49;MAPK14;0.001038313;#N/A
50;IKBKG;0.001027551;#N/A
51;IQGAP1;0.001019706;x
52;HSP90AB1;0.001015742;#N/A
53;SMAD2;0.00101481;x
54;JAK2;0.001013368;x
55;GSK3B;0.001011054;x
56;GRB7;0.000995204;x
57;NFKB1;0.000993283;#N/A
58;ARRB2;0.000983899;#N/A
59;PTK2;0.000981023;#N/A
60;H3C2;0.000974829;#N/A
61;H4C13;0.000960632;#N/A
62;FGFR1;0.000954794;x
63;ATF2;0.000949957;#N/A
64;ACTB;0.000945823;#N/A
65;ATM;0.000943483;x
66;SOS1;0.000943072;x
67;CDC5L;0.000940582;#N/A
68;CDKN1A;0.000931082;x
69;SP1;0.000926562;#N/A
70;SMARCA4;0.000920294;x
71;NPM1;0.00091622;x
72;PABPC1;0.000911621;#N/A
73;PDGFRB;0.000907144;x
74;IKBKB;0.000898089;#N/A
75;UBE2I;0.000896606;#N/A
76;CLTC;0.000877199;#N/A
77;KDM1A;0.000873999;#N/A
78;PML;0.000873724;x
79;EZH2;0.000872546;x
80;ABL1;0.000863843;x
81;HIF1A;0.000860915;x
82;RAC1;0.000860638;x
83;PARP1;0.000851491;x
84;PIK3R3;0.000848806;x
85;CDC42;0.000846835;x
86;ARID2;0.000837521;x
87;HDAC3;0.000836585;#N/A
88;MYH9;0.000829238;#N/A
89;ESR2;0.000816765;#N/A
90;RBBP4;0.00081334;#N/A
91;HRAS;0.000812112;x
92;RBBP7;0.000810485;#N/A
93;NCOR1;0.000796571;x
94;GAB1;0.000796169;x
95;DDX24;0.000788598;#N/A
96;ZNRF3;0.00078755;x
97;FRS2;0.000781807;x
98;YWHAG;0.000773243;#N/A
99;BLM;0.000770323;x
100;VCAM1;0.000766255;#N/A
101;NFKBIA;0.000764593;x
102;MTOR;0.000762229;x
103;PCNA;0.000758741;#N/A
104;ARRB1;0.000753237;#N/A
105;EWSR1;0.000741798;x
106;CUL4A;0.000733685;x
107;KDR;0.000732608;x
108;PPP2CA;0.000732588;#N/A
109;NR3C1;0.000731147;#N/A
110;PPP2R1A;0.000727321;x
111;RHOA;0.000726484;x
112;MKRN2;0.000725967;#N/A
113;ERBB3;0.000725458;x
114;RBPJ;0.000725146;#N/A
115;FLNA;0.000723841;#N/A
116;STAT1;0.000719409;#N/A
117;CHUK;0.000718927;#N/A
118;VHL;0.000717878;x
119;FANCI;0.000711154;#N/A
120;TRAF6;0.000711077;#N/A
121;SUZ12;0.000710925;x
122;YAP1;0.000707988;x
123;APC;0.000703884;x
124;PPP1CC;0.000702368;#N/A
125;FOS;0.000700556;#N/A
126;RUVBL2;0.000699712;#N/A
127;CCND1;0.000698305;x
128;POT1;0.000696676;x
129;HNRNPU;0.000694321;#N/A
130;FGFR2;0.000692223;x
131;CDK4;0.000682079;x
132;BRCA2;0.000681203;x
133;GTF2I;0.000680359;x
134;RXRA;0.000678712;#N/A
135;PTPN6;0.000678185;#N/A
136;RPA1;0.000675695;#N/A
137;TRIM28;0.000669318;#N/A
138;KIT;0.000668802;x
139;VAV1;0.000667635;x
140;FGFR3;0.000664898;x
141;PIK3CB;0.000664575;x
142;SKP1;0.000663615;#N/A
143;CRK;0.00065649;#N/A
144;CUL3;0.000653486;x
145;TERF1;0.000652278;#N/A
146;CSNK2A1;0.000650355;#N/A
147;CAPZA2;0.000650258;#N/A
148;NCOA1;0.000650027;#N/A
149;INSR;0.00064869;x
150;POLA1;0.000646978;#N/A
151;RNF2;0.00064575;#N/A
152;AP2M1;0.000645435;#N/A
153;YWHAQ;0.000644497;#N/A
154;KAT5;0.000644145;#N/A
155;YWHAE;0.000644016;#N/A
156;CST9;0.00064074;#N/A
157;IRS1;0.000640327;x
158;MAP2K1;0.000632702;x
159;E2F1;0.000627114;#N/A
160;ACTG1;0.000622218;x
161;RAD51;0.00062158;x
162;BRD1;0.000621208;#N/A
163;KAT2B;0.000620232;#N/A
164;JAK1;0.000619558;x
165;PRKDC;0.000616428;x
166;USP34;0.000616199;#N/A
167;LYN;0.000610559;x
168;RPL10;0.000608681;#N/A
169;CHD4;0.000608486;x
170;PDGFRA;0.000607077;x
171;PPP1CB;0.000606746;#N/A
172;LMNB1;0.000606184;#N/A
173;ERBB4;0.000605114;x
174;RARA;0.000604961;#N/A
175;FANCD2;0.000604498;x
176;BRAF;0.00060366;x
177;SMC3;0.000603151;x
178;EGLN3;0.00060137;#N/A
179;MAPK8;0.000600596;#N/A
180;LCK;0.000600243;x
181;RIPK4;0.000599997;#N/A
182;CREB1;0.000597865;x
183;TSEN2;0.000597683;#N/A
184;CTBP1;0.000597565;#N/A
185;RUNX1;0.000591925;x
186;CDH1;0.00058664;x
187;DEK;0.000586288;x
188;CBX5;0.000585167;#N/A
189;NDUFB3;0.000583849;#N/A
190;NCOR2;0.000583213;#N/A
191;CDKN1B;0.000581783;x
192;RACGAP1;0.000577209;#N/A
193;NFKB2;0.000573252;#N/A
194;CFTR;0.000572177;#N/A
195;KIF11;0.000571232;#N/A
