No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;SUMO2;0.002239754;#N/A
2;EGFR;0.001808103;x
3;TP53;0.00176205;x
4;FN1;0.001680913;#N/A
5;CDC5L;0.001646638;#N/A
6;MYC;0.001603523;x
7;SNW1;0.001480314;#N/A
8;VCAM1;0.00141054;#N/A
9;ESR1;0.00125242;x
10;HDAC1;0.001176264;x
11;HSP90AA1;0.001141169;x
12;GRB2;0.001135345;#N/A
13;RIPK4;0.001107378;#N/A
14;YWHAB;0.001068194;#N/A
15;YWHAZ;0.001019915;#N/A
16;ARRB2;0.001005154;#N/A
17;KDM1A;0.000997806;#N/A
18;CTNNB1;0.000966091;x
19;HNRNPU;0.000946802;#N/A
20;EGLN3;0.000921553;#N/A
21;BRCA1;0.000907966;x
22;NPM1;0.000887854;x
23;SUMO1;0.000881384;#N/A
24;RPL10;0.000858595;#N/A
25;EP300;0.00084679;x
26;MRPL58;0.000846317;#N/A
27;TERF1;0.000833486;#N/A
28;TRAF2;0.000833226;#N/A
29;CDK2;0.000828164;#N/A
30;ALB;0.000826198;#N/A
31;IQCB1;0.000786037;#N/A
32;AR;0.000775338;x
33;FLNA;0.000769721;#N/A
34;ARRB1;0.000752707;#N/A
35;YWHAG;0.000747305;#N/A
36;CFTR;0.000746763;#N/A
37;RELA;0.000739242;#N/A
38;HSPA8;0.000736848;#N/A
39;MYH9;0.000730942;#N/A
40;MDM2;0.000729773;x
41;ATF2;0.000724811;#N/A
42;HSP90AB1;0.000718718;#N/A
43;MAPK6;0.000715757;#N/A
44;ESR2;0.000706236;#N/A
45;ILK;0.000698665;#N/A
46;PPP1CA;0.000694998;#N/A
47;HNRNPA1;0.000688245;#N/A
48;IKBKG;0.000686694;#N/A
49;CAPZA2;0.000679226;#N/A
50;SMAD3;0.000677608;x
51;MATR3;0.000673507;#N/A
52;HDAC2;0.000673391;x
53;LARP7;0.0006704;#N/A
54;POT1;0.000666407;x
55;TRAF6;0.000665323;#N/A
56;GOLT1B;0.000661418;#N/A
57;JUN;0.000656092;x
58;SRC;0.000653789;x
59;HIF1AN;0.000651583;#N/A
60;TERF2IP;0.000646556;#N/A
61;OTUB1;0.000628766;#N/A
62;CREBBP;0.000622413;x
63;H2AX;0.000621979;#N/A
64;CLTC;0.000621774;#N/A
65;UBE2I;0.000618325;#N/A
66;YWHAQ;0.000611916;#N/A
67;PPP1CC;0.000603783;#N/A
68;VAPA;0.00060025;#N/A
69;EWSR1;0.000597988;x
70;CUL3;0.000589573;x
71;VCP;0.000586751;#N/A
72;SKP1;0.000583812;#N/A
73;PPP1CB;0.000583759;#N/A
74;MDFI;0.000577696;#N/A
75;CBX5;0.00057474;#N/A
76;IQGAP1;0.000574701;x
77;PCNA;0.000574157;#N/A
78;SYNCRIP;0.000566619;#N/A
79;BTRC;0.000564302;#N/A
80;RB1;0.00056356;x
81;CCDC85B;0.000557375;#N/A
82;NOTCH1;0.000551566;x
83;AKT1;0.000545474;x
84;MEPCE;0.000541845;#N/A
85;CSNK2A2;0.000539707;#N/A
86;SUV39H1;0.000539156;#N/A
87;VHL;0.000538822;x
88;BAG6;0.000537448;#N/A
89;APP;0.000536606;#N/A
90;DBN1;0.0005366;#N/A
91;BIRC6;0.00053554;#N/A
92;CUL1;0.000534872;#N/A
93;MAP3K3;0.000528671;#N/A
94;FBXW11;0.000528569;#N/A
95;USP7;0.000525089;#N/A
96;DYNLL1;0.000524175;#N/A
97;USP34;0.000517017;#N/A
98;PLK1;0.000513982;#N/A
99;LIMA1;0.000512929;#N/A
100;NOP56;0.000512434;#N/A
101;MKLN1;0.00050882;#N/A
102;LGALS8;0.000507991;#N/A
103;PEX19;0.00050767;#N/A
104;MYO19;0.000505602;#N/A
105;SFN;0.000503929;#N/A
106;YWHAH;0.000502208;#N/A
107;SORT1;0.00050184;#N/A
108;TRAF1;0.000498631;#N/A
109;AKAP9;0.000497371;#N/A
110;RUVBL2;0.000492708;#N/A
111;HNRNPD;0.000488286;#N/A
112;CSNK2A1;0.000487394;#N/A
113;NEDD8;0.000483327;#N/A
114;FYN;0.000481243;x
115;SHPRH;0.000480934;#N/A
116;H3C2;0.000480731;#N/A
117;YWHAE;0.000479222;#N/A
118;PPP2R1A;0.000474863;x
119;MGA;0.000469363;x
120;HELZ;0.000467248;#N/A
121;SYNPO;0.000466858;#N/A
122;APC;0.000461557;x
123;ATM;0.000461118;x
124;CDC42;0.000460188;x
125;MYO1C;0.000457168;#N/A
126;HDAC6;0.000456664;#N/A
127;AP2M1;0.00045564;#N/A
128;MYO18A;0.000454676;#N/A
129;HIF1A;0.000453672;x
130;AFF4;0.000452293;x
131;CDC37;0.000450852;#N/A
132;NFKB2;0.000448714;#N/A
133;PIK3R1;0.000448449;x
134;VIM;0.000446873;#N/A
135;TINF2;0.000445537;#N/A
136;CDK9;0.000444416;#N/A
137;PPP2CA;0.000444276;#N/A
138;CBL;0.000443744;x
139;H4C13;0.000441659;#N/A
140;HDAC11;0.000439432;#N/A
141;LGALS3;0.000436335;#N/A
142;SHC1;0.000436052;#N/A
143;XRCC3;0.000434976;#N/A
144;FOXL1;0.00043421;#N/A
145;SQSTM1;0.000433989;x
146;LCK;0.000433906;x
147;TBP;0.000433306;#N/A
148;GTSE1;0.000432627;#N/A
149;LRRK2;0.000432344;#N/A
150;STAT3;0.000431699;x
151;TNFRSF1B;0.000430465;#N/A
152;TNFRSF1A;0.000427865;#N/A
153;ZBED6;0.000427435;#N/A
154;KPNB1;0.000426833;#N/A
155;FOXB1;0.00042574;#N/A
156;MAPK14;0.000424773;#N/A
157;KIF11;0.000424411;#N/A
158;FBL;0.000423964;#N/A
159;ANLN;0.00042108;#N/A
160;PML;0.000419191;x
161;MAP3K2;0.000418867;#N/A
162;RUVBL1;0.000417322;#N/A
163;PRMT6;0.000414729;#N/A
164;HDAC3;0.000414532;#N/A
165;HGS;0.000413497;#N/A
166;ABL1;0.000412306;x
167;TUBA1C;0.000407903;#N/A
168;C1QBP;0.000406858;#N/A
169;COPS5;0.000405041;#N/A
170;TRIM28;0.000404403;#N/A
171;RBPJ;0.000404016;#N/A
172;TNRC6B;0.000403235;#N/A
173;NBEAL1;0.000402741;#N/A
174;SMAD2;0.000400176;x
175;EIF4A3;0.000399312;#N/A
176;RIF1;0.000397893;#N/A
177;WDR5;0.000397549;#N/A
178;SMAD5;0.000395554;#N/A
179;TUBA1A;0.000394821;#N/A
180;RPS8;0.000394419;#N/A
181;WDFY3;0.000391687;#N/A
182;MAPRE1;0.000390224;#N/A
183;SGTB;0.00038963;#N/A
184;SP1;0.000387605;#N/A
185;RAF1;0.000387134;x
186;MAP3K1;0.000385442;x
187;VAPB;0.000384557;#N/A
188;AURKA;0.000384149;x
189;PRKDC;0.000383097;x
190;SLC39A4;0.000382496;#N/A
191;HSPD1;0.000382422;#N/A
192;PRPF40A;0.000382059;#N/A
193;HDGF;0.000381865;#N/A
194;MAP3K14;0.000381374;x
195;RBBP7;0.000379011;#N/A
196;MAGOH;0.000378526;#N/A
197;MAPK1;0.000378318;x
198;ACTB;0.000376619;#N/A
199;JAK3;0.00037628;x
200;YAP1;0.000376057;x
201;PTPN11;0.000375603;x
202;GSK3B;0.000375402;x
203;RPS2;0.000375261;#N/A
204;PTN;0.000375173;#N/A
205;FOXK2;0.000374973;#N/A
206;SMAD9;0.000371662;#N/A
207;CCT2;0.000371518;#N/A
208;APOA1;0.00037124;#N/A
209;UBE3A;0.00037119;#N/A
210;PTPRK;0.000370104;#N/A
211;HSPA4;0.000368631;#N/A
212;DMXL1;0.00036848;#N/A
213;RBBP4;0.000368415;#N/A
214;BSG;0.00036826;#N/A
215;FNIP1;0.000367908;#N/A
216;CRK;0.000367623;#N/A
217;STUB1;0.000367056;#N/A
218;RNPS1;0.000366115;#N/A
219;YBX1;0.000365574;#N/A
220;PARP1;0.000364984;x
221;NR3C1;0.000364051;#N/A
222;LYPD3;0.00036394;#N/A
223;RAB5C;0.000363589;#N/A
224;SMAD4;0.000363533;x
225;XPO1;0.000363306;x
226;CUL4B;0.000363175;#N/A
227;PSMC3;0.000363015;#N/A
228;SIN3A;0.000362564;#N/A
229;BTK;0.000361987;x
230;SPINT2;0.000361747;#N/A
