No.;Gene name;Oncogene or Tumor Suppresson gene
1;LMTK3;#N/A
2;HIBADH;#N/A
3;PNP;#N/A
4;FXYD6;#N/A
5;PCDHA4;#N/A
6;ANXA3;#N/A
7;KDELR2;#N/A
8;C1orf131;#N/A
9;TP53;x
10;ESR1;x
11;PIK3CA;x
12;CHEK2;x
13;BRCA1;x
14;BRCA2;x
15;ARID5A;#N/A
16;CASP6;#N/A
17;BRIP1;x
18;HPSE;#N/A
19;TBL2;#N/A
20;KRAS;x
21;ERBB2;x
22;EP300;x
23;AKT1;x
24;FGFR1;x
25;RAC3;#N/A
26;CASP8;x
27;RB1;x
28;PAX2;#N/A
29;GATA3;x
30;NOTCH1;x
31;PDPK1;#N/A
32;MAN2C1;#N/A
33;HRAS;x
34;BRAF;x
35;IL24;#N/A
36;VPS39;#N/A
37;CDKN1B;x
38;FOXA1;x
39;ERBB4;x
40;BLCAP;#N/A
41;ASCL1;#N/A
42;SMARCD1;#N/A
43;NCOR1;x
44;AKT2;x
45;ARID1A;x
46;PIK3CB;x
47;BRI3BP;#N/A
48;PTEN;x
49;HERC2;#N/A
50;SMG5;#N/A
51;BTK;x
52;THAP8;#N/A
53;PALB2;x
54;NOTCH2;x
55;ARID1B;x
56;FGF4;x
57;PBRM1;x
58;MAP2K4;x
59;BAP1;x
60;FGF3;x
61;TBX3;x
62;INPP4B;x
63;MAP3K13;x
64;KLF1;#N/A
65;PIK3R2;x
66;ARID3A;x
67;FGF8;x
68;DEDD2;#N/A
69;RPS6KB2;x
70;RNF34;#N/A
71;CCNE2;#N/A
72;PIK3R1;x
73;EGFR;x
74;NCOA4;#N/A
75;CABLES2;#N/A
76;FGFR3;x
77;GINS2;#N/A
78;GRB2;#N/A
79;PTGS2;#N/A
80;NFIX;#N/A
81;E2F5;#N/A
82;PTMA;#N/A
83;COX17;#N/A
84;TWIST1;#N/A
85;MAPK1;x
86;NRAS;x
87;ADAP1;#N/A
88;MAPK3;x
89;MUC15;#N/A
90;CNTN1;#N/A
91;TFAP4;#N/A
92;CSTF1;#N/A
93;E2F3;x
94;DPF1;#N/A
95;WT1;x
96;HOOK1;#N/A
97;LEF1;x
98;NKX2-5;#N/A
99;ERH;#N/A
100;SRC;x
;SMG7;#N/A
;ANAPC7;#N/A
;AGMAT;#N/A
;ATAD2;#N/A
;SMARCA4;x
;MAPKAPK2;#N/A
;CASP14;#N/A
;MAP2K1;x
;TFAP2A;#N/A
;STMN1;#N/A
;SOS1;x
;KRT19;#N/A
;ITPR1;#N/A
;ELK1;#N/A
;MUC1;#N/A
;BLM;x
;PIK3R3;x
;RGS14;#N/A
;TLE3;#N/A
;RAF1;x
;PIK3CD;x
;PLCG2;x
;IRS1;x
;NMT1;#N/A
;KDM5B;#N/A
;KLF5;x
;BARD1;x
;NOD1;#N/A
;TP73;#N/A
;E2F1;#N/A
;CHEK1;x
;FGFR2;x
;FGF2;x
;CCND2;x
;RRM2;#N/A
;NRG1;x
;MAGEF1;#N/A
;PYCARD;#N/A
;ZMAT3;#N/A
;IL17RD;#N/A
;PAFAH1B3;#N/A
;AKT3;x
;TP53RK;#N/A
;FGF10;x
;MYC;x
;MTA3;#N/A
;TRAPPC9;#N/A
;SOX2;x
;APTX;#N/A
;NCAM1;#N/A
;GPSM2;#N/A
;DLX5;#N/A
;PTK6;#N/A
;PROCA1;#N/A
;KLHDC9;#N/A
;FGF1;x
;NR2F6;#N/A
;PBK;#N/A
;RUNX2;#N/A
;MAP2K2;x
;SHC1;#N/A
;CCNE1;x
;EGF;#N/A
;TRO;#N/A
;RAD51;x
;H2AC20;#N/A
;MAD2L1BP;#N/A
;CDK2;#N/A
;FGF9;x
;NTRK2;x
;HSPE1;#N/A
;PAX9;#N/A
;SLC9A3R1;#N/A
;MAP3K8;#N/A
;CLSPN;#N/A
;PKM;#N/A
;CCNA2;#N/A
;SIRT1;#N/A
;EPHA4;#N/A
;NR2F1;#N/A
;PLCG1;x
;BAK1;#N/A
;CDH2;x
;FANCA;x
;CDK5;#N/A
;MET;x
;FGF7;x
;IFI30;#N/A
;DNMT1;x
;MED25;#N/A
;BAX;#N/A
;FGF23;x
;TRIB3;x
;PDGFRA;x
;FOXA3;#N/A
;FGF5;x
;CDKN1A;x
;AP4M1;#N/A
;PRKD1;#N/A
;HOXB9;#N/A
;FYN;x
;RELA;#N/A
;CORO2A;#N/A
;CASP3;#N/A
;TCL1A;x
;MTOR;x
;FXYD3;#N/A
;FOXK2;#N/A
;NACC1;#N/A
;NABP2;#N/A
;PDGFRB;x
;INSM1;#N/A
;DBF4;#N/A
;KIF20B;#N/A
;PRKCA;#N/A
;FTO;#N/A
;CTNNB1;x
;SATB1;#N/A
;PKP3;#N/A
;EFNB2;#N/A
;EFNA4;#N/A
;GSK3B;x
;JUN;x
;MEN1;x
;CDX1;#N/A
;UBE2O;#N/A
;TCF3;x
;EBNA1BP2;#N/A
;PARP1;x
;PFN1;#N/A
;THRA;#N/A
;TERT;x
;MAPK14;#N/A
;MORF4L2;#N/A
;NFKB1;#N/A
;FANCD2;x
;FGF19;x
;SHB;#N/A
;NR2E3;#N/A
;FOXN1;#N/A
;H3-3A;x
;PTK2;#N/A
;E4F1;#N/A
;FGFR4;x
;STAT3;x
;ERBB3;x
;IPO5;#N/A
;MACROH2A1;#N/A
;HDAC8;#N/A
;HSP90AA1;x
;IGF1R;x
;TUBB3;#N/A
;HMG20B;#N/A
;CCND1;x
;WWTR1;x
;FLT3;x
;GNGT1;#N/A
