No.;Gene name;Oncogene or Tumor Suppresson gene
1;TP53;x
2;ESR1;x
3;EGFR;x
4;GRB2;#N/A
5;PIK3R1;x
6;EP300;x
7;AKT1;x
8;BRCA1;x
9;MYC;x
10;PIK3CA;x
11;ERBB2;x
12;HDAC1;x
13;RAF1;x
14;MAPK1;x
15;CTNNB1;x
16;LANCL2;#N/A
17;SRC;x
18;JUN;x
19;HSP90AA1;x
20;PIK3R2;x
21;CREBBP;x
22;FGFR3;x
23;MDM2;x
24;RELA;#N/A
25;SNW1;#N/A
26;FN1;#N/A
27;CDK2;#N/A
28;FGFR2;x
29;LMTK3;#N/A
30;NOTCH1;x
31;RB1;x
32;FGFR1;x
33;SHC1;#N/A
34;MAPK14;#N/A
35;MAPK3;x
36;PRR14L;#N/A
37;YWHAB;#N/A
38;SUMO2;#N/A
39;HDAC2;x
40;SMAD3;x
41;HRAS;x
42;PPP2CA;#N/A
43;CASP8;x
44;PTPN11;x
45;ATF2;#N/A
46;KRAS;x
47;USP7;#N/A
48;YWHAZ;#N/A
49;NCOR1;x
50;AR;x
51;SMARCA4;x
52;FOS;#N/A
53;GATA3;x
54;CDKN1A;x
55;STAT3;x
56;SERINC3;#N/A
57;PLCG1;x
58;SOS1;x
59;PDPK1;#N/A
60;SMAD2;x
61;TRAF2;#N/A
62;PTK2;#N/A
63;IKBKB;#N/A
64;ERBB4;x
65;BRAF;x
66;MET;x
67;IKBKG;#N/A
68;PIK3R3;x
69;CDKN1B;x
70;HIBADH;#N/A
71;CDC5L;#N/A
72;TRAF6;#N/A
73;GSK3B;x
74;VCAM1;#N/A
75;NFKB1;#N/A
76;CHUK;#N/A
77;ARRB2;#N/A
78;ATM;x
79;NPM1;x
80;PIK3CB;x
81;CHEK2;x
82;PPP2R1A;x
83;FYN;x
84;MKRN2;#N/A
85;CDK4;x
86;MAP2K1;x
87;ERBB3;x
88;SMAD4;x
89;HSP90AB1;#N/A
90;SP1;#N/A
91;ESR2;#N/A
92;AKT2;x
93;PTEN;x
94;FOXA1;x
95;H2AX;#N/A
96;UBE2I;#N/A
97;CSNK2A2;#N/A
98;TIMELESS;#N/A
99;CREB1;x
100;CBL;x
101;;#N/A
102;;#N/A
103;;#N/A
104;;#N/A
105;;#N/A
106;;#N/A
107;;#N/A
108;;#N/A
109;;#N/A
110;;#N/A
111;;#N/A
112;;#N/A
113;;#N/A
114;;#N/A
115;;#N/A
116;;#N/A
117;;#N/A
118;;#N/A
119;;#N/A
120;;#N/A
121;;#N/A
122;;#N/A
123;;#N/A
124;;#N/A
125;;#N/A
126;;#N/A
127;;#N/A
128;;#N/A
129;;#N/A
130;;#N/A
131;;#N/A
132;;#N/A
133;;#N/A
134;;#N/A
135;;#N/A
136;;#N/A
137;;#N/A
138;;#N/A
139;;#N/A
140;;#N/A
141;;#N/A
142;;#N/A
143;;#N/A
144;;#N/A
145;;#N/A
146;;#N/A
147;;#N/A
148;;#N/A
149;;#N/A
150;;#N/A
151;;#N/A
152;;#N/A
153;;#N/A
154;;#N/A
155;;#N/A
156;;#N/A
157;;#N/A
158;;#N/A
159;;#N/A
160;;#N/A
161;;#N/A
162;;#N/A
163;;#N/A
164;;#N/A
165;;#N/A
166;;#N/A
167;;#N/A
168;;#N/A
169;;#N/A
170;;#N/A
171;;#N/A
172;;#N/A
173;;#N/A
174;;#N/A
175;;#N/A
176;;#N/A
177;;#N/A
178;;#N/A
179;;#N/A
180;;#N/A
181;;#N/A
182;;#N/A
183;;#N/A
184;;#N/A
185;;#N/A
186;;#N/A
187;;#N/A
188;;#N/A
189;;#N/A
190;;#N/A
191;;#N/A
192;;#N/A
193;;#N/A
194;;#N/A
195;;#N/A
196;;#N/A
197;;#N/A
198;;#N/A
199;;#N/A
200;;#N/A
201;;#N/A
202;;#N/A
203;;#N/A
204;;#N/A
205;;#N/A
206;;#N/A
207;;#N/A
208;;#N/A
209;;#N/A
210;;#N/A
211;;#N/A
212;;#N/A
213;;#N/A
214;;#N/A
215;;#N/A
216;;#N/A
217;;#N/A
218;;#N/A
219;;#N/A
220;;#N/A
221;;#N/A
222;;#N/A
223;;#N/A
224;;#N/A
225;;#N/A
226;;#N/A
227;;#N/A
228;;#N/A
229;;#N/A
230;;#N/A
231;;#N/A
232;;#N/A
233;;#N/A
234;;#N/A
235;;#N/A
236;;#N/A
237;;#N/A
238;;#N/A
239;;#N/A
240;;#N/A
241;;#N/A
242;;#N/A
243;;#N/A
244;;#N/A
245;;#N/A
246;;#N/A
247;;#N/A
248;;#N/A
249;;#N/A
250;;#N/A
251;;#N/A
252;;#N/A
253;;#N/A
254;;#N/A
255;;#N/A
256;;#N/A
257;;#N/A
258;;#N/A
259;;#N/A
260;;#N/A
261;;#N/A
262;;#N/A
263;;#N/A
264;;#N/A
265;;#N/A
266;;#N/A
267;;#N/A
268;;#N/A
269;;#N/A
270;;#N/A
271;;#N/A
272;;#N/A
273;;#N/A
274;;#N/A
275;;#N/A
276;;#N/A
277;;#N/A
278;;#N/A
279;;#N/A
280;;#N/A
281;;#N/A
282;;#N/A
283;;#N/A
284;;#N/A
285;;#N/A
286;;#N/A
287;;#N/A
288;;#N/A
289;;#N/A
290;;#N/A
291;;#N/A
292;;#N/A
293;;#N/A
294;;#N/A
295;;#N/A
296;;#N/A
297;;#N/A
298;;#N/A
299;;#N/A
300;;#N/A
301;;#N/A
302;;#N/A
303;;#N/A
304;;#N/A
