No.;Gene name;Oncogene or Tumor Suppresson gene
1;SUMO2;#N/A
2;EGFR;x
3;TP53;x
4;FN1;#N/A
5;CDC5L;#N/A
6;MYC;x
7;SNW1;#N/A
8;VCAM1;#N/A
9;ESR1;x
10;HDAC1;x
11;HSP90AA1;x
12;GRB2;#N/A
13;RIPK4;#N/A
14;YWHAB;#N/A
15;YWHAZ;#N/A
16;ARRB2;#N/A
17;CTNNB1;x
18;KDM1A;#N/A
19;HNRNPU;#N/A
20;EGLN3;#N/A
21;SUMO1;#N/A
22;BRCA1;x
23;NPM1;x
24;EP300;x
25;TERF1;#N/A
26;RPL10;#N/A
27;CDK2;#N/A
28;ALB;#N/A
29;TRAF2;#N/A
30;MRPL58;#N/A
31;AR;x
32;MYH9;#N/A
33;IQCB1;#N/A
34;ARRB1;#N/A
35;YWHAG;#N/A
36;MDM2;x
37;HSPA8;#N/A
38;RELA;#N/A
39;ESR2;#N/A
40;HSP90AB1;#N/A
41;ATF2;#N/A
42;MAPK6;#N/A
43;PPP1CA;#N/A
44;POT1;x
45;HNRNPA1;#N/A
46;SMAD3;x
47;IKBKG;#N/A
48;FLNA;#N/A
49;CAPZA2;#N/A
50;JUN;x
51;ILK;#N/A
52;TRAF6;#N/A
53;HDAC2;x
54;SRC;x
55;LARP7;#N/A
56;CFTR;#N/A
57;GOLT1B;#N/A
58;HIF1AN;#N/A
59;EWSR1;x
60;CREBBP;x
61;CLTC;#N/A
62;TERF2IP;#N/A
63;YWHAQ;#N/A
64;UBE2I;#N/A
65;OTUB1;#N/A
66;H2AX;#N/A
67;PLK1;#N/A
68;MDFI;#N/A
69;PPP1CC;#N/A
70;CUL3;x
71;PPP1CB;#N/A
72;TNFRSF1B;#N/A
73;VAPA;#N/A
74;SKP1;#N/A
75;SYNCRIP;#N/A
76;IQGAP1;x
77;PCNA;#N/A
78;RB1;x
79;BTRC;#N/A
80;CBX5;#N/A
81;VCP;#N/A
82;CCDC85B;#N/A
83;NOTCH1;x
84;SUV39H1;#N/A
85;BAG6;#N/A
86;DBN1;#N/A
87;FBXW11;#N/A
88;CSNK2A2;#N/A
89;TRAF1;#N/A
90;VHL;x
91;AKT1;x
92;APP;#N/A
93;MATR3;#N/A
94;MEPCE;#N/A
95;MAP3K3;#N/A
96;CUL1;#N/A
97;LGALS8;#N/A
98;DYNLL1;#N/A
99;USP7;#N/A
100;LIMA1;#N/A
101;SFN;#N/A
102;MYO19;#N/A
103;YWHAH;#N/A
104;FOXB1;#N/A
105;SORT1;#N/A
106;NOP56;#N/A
107;JAK3;x
108;CDC37;#N/A
109;HNRNPD;#N/A
110;NEDD8;#N/A
111;PEX19;#N/A
112;PPP2R1A;x
113;CREB1;x
114;RUVBL2;#N/A
115;YWHAE;#N/A
116;H3C2;#N/A
117;CSNK2A1;#N/A
118;SYNPO;#N/A
119;FYN;x
120;CDK9;#N/A
121;SQSTM1;x
122;LCK;x
123;HIF1A;x
124;MYO1C;#N/A
125;PPP2CA;#N/A
126;MYO18A;#N/A
127;LGALS3;#N/A
128;AP2M1;#N/A
129;IKZF1;#N/A
130;STUB1;#N/A
131;APC;x
132;CDC42;x
133;HDAC6;#N/A
134;PYHIN1;#N/A
135;NFKB2;#N/A
136;KIF11;#N/A
137;TINF2;#N/A
138;PIK3R1;x
139;FOXL1;#N/A
140;ANLN;#N/A
141;SHC1;#N/A
142;XRCC3;#N/A
143;TBP;#N/A
144;TNFRSF1A;#N/A
145;MAPK14;#N/A
146;STAT3;x
147;HGS;#N/A
