No.;Gene name;Drug target oncokb
1;CDH7;#N/A
2;ABCA12;#N/A
3;SOX1;#N/A
4;PTK7;#N/A
5;ARMC2;#N/A
6;MAGEC2;#N/A
7;MEGF6;#N/A
8;COL9A3;#N/A
9;CMTM8;#N/A
10;WNT11;#N/A
11;PCDHA4;#N/A
12;CTNNB1;x
13;EGFR;x
14;TCF7;#N/A
15;POU3F2;x
16;PCSK1;#N/A
17;COMP;#N/A
18;SHH;#N/A
19;LIF;#N/A
20;TRIM28;#N/A
21;AXIN2;x
22;TP53;x
23;WIF1;x
24;ANXA3;#N/A
25;KCNN4;#N/A
26;LGR5;x
27;IGF2;x
28;ABCA1;#N/A
29;CXCL8;#N/A
30;EP300;x
31;SOX9;x
32;IGFBP3;#N/A
33;SERPINB5;#N/A
34;MYC;x
35;AURKA;x
36;PYCARD;#N/A
37;GAPDH;#N/A
38;CA9;#N/A
39;MAGEA2;#N/A
40;POLD1;x
41;GUCY1A2;#N/A
42;SFRP4;#N/A
43;NRCAM;#N/A
44;POSTN;#N/A
45;PTPRU;#N/A
46;CFTR;#N/A
47;SPARC;#N/A
48;TNFRSF11B;#N/A
49;EIF3H;#N/A
50;BOLL;#N/A
51;MAGEA3;#N/A
52;MMP1;#N/A
53;TGIF2;#N/A
54;TBX5;#N/A
55;ABCB6;#N/A
56;RNF43;x
57;ZNF292;x
58;RNF182;#N/A
59;IL6ST;x
60;MACROD1;#N/A
61;SLC4A8;#N/A
62;SMAD4;x
63;CSF2;#N/A
64;ATP7B;#N/A
65;TYRO3;#N/A
66;SMAD3;x
67;MSH4;#N/A
68;TNFRSF10C;#N/A
69;CCND2;x
70;MTDH;#N/A
71;SRC;x
72;FOXL2;x
73;COL7A1;#N/A
74;BMP4;#N/A
75;AKT1;x
76;ICAM5;#N/A
77;CBX5;#N/A
78;KYNU;#N/A
79;GGH;#N/A
80;CASP8;x
81;DDX52;#N/A
82;CDH1;x
83;GATA4;x
84;KDR;x
85;TNFSF10;#N/A
86;MLH1;x
87;PARP1;x
88;FPGS;#N/A
89;HHIP;#N/A
90;MIPEP;#N/A
91;TLR4;#N/A
92;EFEMP1;#N/A
93;ESR2;#N/A
94;TP63;x
95;FHL3;#N/A
96;MMP2;#N/A
97;SFRP1;x
98;APC;x
99;BCL2;x
100;BRAF;x
101;TNFSF13;x
102;TLR2;#N/A
103;PIK3CA;x
104;YAP1;x
105;CALR;x
106;CTBP1;#N/A
107;SFRP2;x
108;RET;x
109;FBLN2;#N/A
110;TNF;#N/A
111;FGFR3;x
112;TGFBR1;x
113;GSTM3;#N/A
114;ABCD3;#N/A
115;BUB1;#N/A
116;GPNMB;#N/A
117;NME1;#N/A
118;PTGS2;#N/A
119;LPAR1;#N/A
120;EYA4;#N/A
121;PPARG;x
122;MLH3;x
123;NRAS;x
124;BUB1B;x
125;MAF;#N/A
126;SMAD7;#N/A
127;ALDH2;x
128;KRAS;x
129;LY96;#N/A
130;ARNT;#N/A
131;MSH2;x
132;NME2;#N/A
133;FLNC;#N/A
134;SMAD9;#N/A
135;ING4;#N/A
136;SOD2;#N/A
137;ABCD2;#N/A
138;GNB4;#N/A
139;DCC;#N/A
140;NAMPT;#N/A
141;LAMA1;#N/A
142;BIRC5;#N/A
143;ADH1B;#N/A
144;ABCG1;#N/A
145;CD9;#N/A
146;EXO1;#N/A
147;TCF7L2;x
148;CALCOCO2;#N/A
149;NUSAP1;#N/A
150;IFNA2;#N/A
151;BMP2;#N/A
152;FEN1;#N/A
153;SYNE1;#N/A
154;GRIN2A;x
155;ABCA6;#N/A
156;PRKD1;#N/A
157;POLD3;#N/A
158;PAX8;x
159;MKI67;x
160;ARID1A;x
161;CDH5;#N/A
162;BOC;#N/A
163;TRPM7;#N/A
164;ERCC2;x
165;JPH3;#N/A
166;PRKCE;#N/A
167;PRKCB;x
168;STRAP;#N/A
169;ABCE1;#N/A
170;TYMP;#N/A
171;POLE;x
172;ABCA4;#N/A
173;CHD1;#N/A
174;ABCC8;#N/A
175;TET2;x
176;SATB2;#N/A
177;DLC1;#N/A
178;CHEK2;x
179;CD226;#N/A
180;GREM1;x
181;KLF5;x
182;ETV1;x
183;ANP32A;#N/A
184;DPYD;#N/A
185;ABCC2;#N/A
186;FLCN;x
187;GSTM1;#N/A
188;ZNF569;#N/A
189;NTNG1;#N/A
190;PTPRD;x
191;GUCY2C;#N/A
192;SCG5;x
193;XAF1;#N/A
194;ODC1;#N/A
195;SESN2;x
196;MTHFR;#N/A
197;DCLK1;#N/A
198;TK1;#N/A
199;SOX17;x
200;TFRC;#N/A
201;EVL;#N/A
202;SULT2B1;#N/A
203;AKR1B10;#N/A
204;CYP1A2;#N/A
205;CYP1B1;#N/A
206;KDM2A;#N/A
207;HOXD9;#N/A
208;SLC19A1;#N/A
209;HAPLN1;#N/A
210;SELENBP1;#N/A
211;NR4A2;#N/A
212;FADS1;#N/A
213;PMM2;#N/A
214;CHD5;#N/A
215;RRM2;#N/A
216;CABLES1;#N/A
217;GALNT12;#N/A
218;RHPN2;#N/A
219;FAT1;x
220;UMPS;#N/A
221;CD109;#N/A
222;FBN2;#N/A
223;ABCC4;#N/A
224;VTI1A;#N/A
225;ABCA3;#N/A
226;MTRR;#N/A
227;PHETA1;#N/A
228;SFXN1;#N/A
229;NQO1;x
230;GPX4;#N/A
231;DHFR;#N/A
232;KLF2;x
233;GRID1;#N/A
234;NXN;#N/A
235;ZKSCAN3;#N/A
236;ABCB10;#N/A
237;ABCG2;#N/A
238;PAIP2;#N/A
239;PGM1;#N/A
240;TXNRD1;#N/A
241;ZMIZ1;#N/A
242;DACT1;#N/A
243;PPM1E;#N/A
244;SH3TC1;#N/A
245;IPP;#N/A
246;SELENOP;#N/A
247;NT5C;#N/A
248;PPOX;#N/A
249;ABCB1;x
250;UNG;#N/A
251;CABYR;#N/A
252;TYMS;#N/A
253;ZFP36L2;x
254;ABCB4;#N/A
255;ABCB11;#N/A
256;EPHA1;#N/A
257;PPP1R14A;#N/A
258;PROM1;#N/A
259;SOX4;#N/A
260;AREG;#N/A
261;DSC3;#N/A
262;ETV4;x
263;ACAN;#N/A
264;CDH3;#N/A
265;DCSTAMP;#N/A
266;PROCR;#N/A
267;LEF1;x
268;MAP7D2;#N/A
269;RHEBL1;#N/A
270;CXCL5;#N/A
271;NKX2-5;#N/A
272;NKX2-1;x
273;ZNRF3;x
274;PDIA2;#N/A
275;POLD2;#N/A
276;NANP;#N/A
277;TIMP1;#N/A
278;CITED1;#N/A
279;IL1A;#N/A
280;SIX2;#N/A
281;DACH1;#N/A
282;EREG;#N/A
283;CD46;#N/A
284;PRKAR1B;#N/A
285;GNB1L;#N/A
286;CDC20B;#N/A
287;SIM2;#N/A
288;CEBPB;#N/A
289;LCN2;#N/A
290;FGB;#N/A
291;TP73;#N/A
292;RRP1;#N/A
293;TRIM54;#N/A
294;FZD6;#N/A
295;PABPC3;#N/A
296;EGF;#N/A
297;TWIST1;#N/A
298;SLC7A5;#N/A
299;TNFSF11;#N/A
300;LAPTM4B;#N/A
301;SIX1;#N/A
302;SIX4;#N/A
303;GINS1;#N/A
304;CABLES2;#N/A
305;SERPINH1;#N/A
306;ZNF114;#N/A
307;TFAP2A;#N/A
308;RCOR2;#N/A
309;F5;#N/A
310;CSE1L;#N/A
311;ATP2A1;#N/A
312;DVL1;#N/A
313;WNT5A;#N/A
314;FGF8;x
315;PMAIP1;x
316;PUS1;#N/A
317;NFE2;x
318;MMP3;#N/A
319;ALCAM;#N/A
320;FOXP4;#N/A
321;VEGFA;x
322;DLX4;#N/A
323;UBE2C;#N/A
324;LIPF;#N/A
325;ITGA2;#N/A
326;AMER1;x
327;INHA;x
328;IGFBP1;#N/A
329;ATIC;x
330;NR5A1;#N/A
331;WNT7A;#N/A
332;HAPLN3;#N/A
333;TNFSF9;#N/A
334;TNFAIP6;#N/A
335;TICRR;#N/A
336;WNT2;#N/A
337;DRAXIN;#N/A
338;IQGAP3;#N/A
339;HSPH1;#N/A
340;PPP1R13L;#N/A
341;XPOT;#N/A
342;ING1;x
343;CD44;#N/A
344;TAF1A;#N/A
345;PHLDA1;#N/A
346;AHR;#N/A
347;RGS16;#N/A
348;WDR4;#N/A
349;TPX2;#N/A
350;SOX2;x
351;GAST;#N/A
352;ATP6V1H;#N/A
353;SNTB1;#N/A
354;PROX1;#N/A
355;PLCG1;x
356;PTK2;#N/A
357;WT1;x
358;RIN1;#N/A
359;EIF2S2;#N/A
360;SLC6A1;#N/A
361;GNL3L;#N/A
362;VCAN;#N/A
363;LYZ;#N/A
364;PES1;#N/A
365;SKP2;#N/A
366;ARID3A;x
367;PIK3R1;x
368;BCAP31;#N/A
369;OSM;#N/A
370;MYCN;x
371;ITPR2;#N/A
372;THEM6;#N/A
373;MDM2;x
374;BCL2L1;#N/A
375;ZNF790;#N/A
376;DKK1;#N/A
377;TERT;x
378;ASPSCR1;#N/A
379;SHB;#N/A
380;RBCK1;#N/A
381;NSDHL;#N/A
382;SPRR1A;#N/A
383;PCNA;#N/A
384;DSN1;#N/A
385;BGN;#N/A
386;KAT2A;#N/A
387;TNFRSF10B;#N/A
388;IRAK1;#N/A
389;NUDT1;#N/A
390;COL1A1;x
391;HOXA9;#N/A
392;FNTA;#N/A
393;CCND1;x
394;XPNPEP3;#N/A
395;MAGEA6;#N/A
396;TP53RK;#N/A
397;NONO;#N/A
398;CLPB;#N/A
399;TOP2A;x
400;PPP2R2A;x
401;MYBL2;#N/A
402;CBFB;x
403;CALML5;#N/A
404;PAFAH1B3;#N/A
405;RELA;#N/A
406;TRPV4;#N/A
407;EIF2S3;#N/A
408;NOX4;#N/A
409;PAX3;x
410;TBR1;#N/A
411;EMD;#N/A
412;DSG4;#N/A
413;LRRC46;#N/A
414;FSCN1;#N/A
415;CST6;#N/A
416;ROBO2;#N/A
417;ACTL8;#N/A
418;TREM1;#N/A
419;CDH11;x
420;ZNF239;#N/A
421;PLOD3;#N/A
422;B4GALT7;#N/A
423;SPRR2A;#N/A
424;MAPK1;x
425;LRRC15;#N/A
426;BHLHE40;#N/A
427;LONP1;#N/A
428;PKM;#N/A
429;PKP1;#N/A
430;SLC22A11;#N/A
431;E2F1;#N/A
432;UCP1;#N/A
433;OSBPL3;#N/A
434;LOXL2;#N/A
435;ADAMTS12;#N/A
436;HSP90AB1;#N/A
437;TKT;#N/A
438;VSIG8;#N/A
439;XPO5;#N/A
440;ITGAX;#N/A
441;DNTTIP1;#N/A
442;COL10A1;#N/A
443;TNFRSF1A;#N/A
444;HECW1;#N/A
445;CLEC5A;#N/A
446;IL1B;#N/A
447;PSMA7;#N/A
448;HECW2;#N/A
449;FRMD5;#N/A
450;GSTP1;#N/A
451;HSPD1;#N/A
452;P4HA1;#N/A
453;MET;x
454;HJURP;#N/A
455;S100A4;#N/A
456;INHBA;x
457;PBK;#N/A
458;PPAT;#N/A
459;SRMS;#N/A
460;PRKDC;x
461;AIRE;#N/A
462;TFR2;#N/A
463;HDAC2;x
464;CENPF;#N/A
465;MAPK3;x
466;UBE2I;#N/A
467;POLA1;#N/A
468;RCN1;#N/A
469;FBF1;#N/A
470;COL1A2;#N/A
471;IL6;#N/A
472;NFE2L3;#N/A
473;E4F1;#N/A
474;HSPA4L;#N/A
475;PIK3R2;x
476;THBS2;#N/A
477;CBX4;#N/A
478;ZNF469;#N/A
479;BIRC7;#N/A
480;NFKB1;#N/A
481;MCM10;#N/A
482;ARFGAP1;#N/A
483;TCF12;#N/A
484;TRIB3;x
485;SLC3A2;#N/A
486;CDC16;#N/A
487;PIK3CB;x
488;IGF2BP1;#N/A
489;RUNX1;x
490;CHEK1;x
491;CXCL11;#N/A
492;PSG11;#N/A
493;ITGA11;#N/A
494;L1TD1;#N/A
495;SULF1;#N/A
496;MAD2L1;#N/A
497;SMARCD1;#N/A
498;ADAM12;#N/A
499;IL11;#N/A
500;ASGR1;#N/A
501;PIK3CD;x
502;LOX;#N/A
503;PDPN;#N/A
504;ASAP1;#N/A
505;TRIM29;#N/A
506;EDNRA;#N/A
507;SLC2A1;#N/A
508;E2F5;#N/A
509;C9;#N/A
510;PIK3R3;x
511;IGFL1;#N/A
512;SERPINB4;#N/A
513;KRT78;#N/A
514;NPRL3;#N/A
515;KRT17;#N/A
516;ALPP;#N/A
517;ACTBL2;#N/A
518;P4HA3;#N/A
519;GRB7;x
520;DSG3;#N/A
521;CEP55;#N/A
522;ECT2;#N/A
523;MCOLN3;#N/A
524;RAF1;x
525;LZTS1;#N/A
526;ATAD3A;#N/A
527;SPRR1B;#N/A
528;IL1RAP;#N/A
529;APOA1;#N/A
530;SPRR3;#N/A
531;YWHAB;#N/A
532;GSK3B;x
533;HRAS;x
534;NOTUM;#N/A
535;ELOA2;#N/A
536;TRAF2;#N/A
537;MMP14;#N/A
538;CARM1;#N/A
539;COL8A1;#N/A
540;CHTF18;#N/A
541;RTN4RL2;#N/A
542;ANGPT2;#N/A
543;NEBL;#N/A
544;KIF18A;#N/A
545;JUN;x
546;TFDP1;#N/A
547;H2BC15;#N/A
548;FADD;#N/A
549;IGF2BP3;#N/A
550;COMT;#N/A
551;TLX3;x
552;HES6;#N/A
553;GABRR1;#N/A
554;EPDR1;#N/A
555;PABPC1;#N/A
556;FAP;#N/A
557;TAFAZZIN;#N/A
558;COL3A1;#N/A
559;DDIT3;#N/A
560;GZMB;#N/A
561;CDKN1A;x
562;FN1;#N/A
563;AKT2;x
564;FOXG1;#N/A
565;FOXC1;#N/A
566;ANTXR1;#N/A
567;CELSR1;#N/A
568;IKBKB;#N/A
569;FAM222A;#N/A
570;STAT3;x
571;ITGAV;#N/A
572;HAX1;#N/A
573;MAPK12;#N/A
574;CBX3;#N/A
575;ONECUT1;#N/A
576;DCUN1D5;#N/A
577;MMP9;#N/A
578;NPM1;x
579;CAD;x
580;LHX8;#N/A
581;AKT3;x
582;WDR90;#N/A
583;L3MBTL1;#N/A
584;MCM4;#N/A
585;IKBKG;#N/A
586;KIF26B;#N/A
587;KEAP1;x
588;NUF2;x
589;MAP2K1;x
590;LRP8;#N/A
591;CHSY3;#N/A
592;AMOT;#N/A
593;GABRE;#N/A
594;VCAM1;#N/A
595;SOX14;#N/A
596;ABCG4;#N/A
597;RUVBL2;#N/A
598;WNT7B;#N/A
599;PARD6A;#N/A
600;RIPK1;#N/A
601;POTEF;#N/A
602;DPM1;#N/A
603;WDR43;#N/A
604;PTTG1;#N/A
605;RBL1;#N/A
606;GTF2F2;#N/A
607;COL5A1;#N/A
608;INTS8;#N/A
609;ACTR5;#N/A
610;NEK2;#N/A
611;DMKN;#N/A
612;SOX21;#N/A
613;POP1;#N/A
614;CDK1;#N/A
615;DNMT3B;x
616;COL5A2;#N/A
617;PLXNA3;#N/A
618;FOXS1;#N/A
619;FASLG;#N/A
620;WDR62;#N/A
621;BAX;#N/A
622;HSP90AA1;x
623;GRB2;#N/A
624;HDAC1;x
625;UBA52;#N/A
626;CSNK2A1;#N/A
627;S100A7;#N/A
628;TRIM72;#N/A
629;GTF2E2;#N/A
630;RPN2;#N/A
631;ESR1;x
632;KLHL17;#N/A
633;MAP2K2;x
634;CHI3L1;#N/A
635;KRT6C;#N/A
636;FGF3;x
637;CCT6A;#N/A
638;MAGEB2;#N/A
639;CDC25B;#N/A
640;HOXB8;#N/A
641;XRN2;#N/A
642;PKMYT1;#N/A
643;MAPK8;#N/A
644;KDM1A;#N/A
645;CASP3;#N/A
646;FOS;#N/A
647;H1-3;x
648;MAPK9;#N/A
649;SUV39H1;#N/A
650;ATF2;#N/A
651;PTRH1;#N/A
652;CHUK;#N/A
653;CFHR4;#N/A
654;TGS1;#N/A
655;NR2E1;#N/A
656;HDAC8;#N/A
657;CPNE3;#N/A
658;RAC3;#N/A
659;CST5;#N/A
660;PGF;#N/A
661;IRX4;#N/A
662;SMAD2;x
663;PRKCG;#N/A
664;SPRR2E;#N/A
665;PF4;#N/A
666;PRPF6;#N/A
667;TRIP6;#N/A
668;TRAP1;#N/A
669;RAE1;#N/A
670;HIF1A;x
671;GNAS;x
672;CCL20;#N/A
673;SHARPIN;#N/A
674;RPL28;#N/A
675;ZP3;#N/A
676;SSR1;#N/A
677;MAPK14;#N/A
678;IFNB1;#N/A
679;IL12B;#N/A
680;SIX3;#N/A
681;EN2;#N/A
682;GSC;#N/A
683;TREX2;#N/A
684;PEX19;#N/A
685;HOXB3;#N/A
686;KRT6B;#N/A
687;RFWD3;#N/A
688;CDC6;#N/A
689;TRADD;#N/A
690;WNT3A;#N/A
691;AJUBA;x
692;DPF1;#N/A
693;CIP2A;#N/A
694;ADNP;#N/A
695;FOXC2;#N/A
696;H4C13;#N/A
697;CHRNG;#N/A
698;TOPAZ1;#N/A
699;EPHA8;#N/A
700;RB1CC1;#N/A
701;H1-5;x
702;CCNO;#N/A
703;SLC39A10;#N/A
704;WDR45B;#N/A
705;KBTBD2;#N/A
706;NTAQ1;#N/A
707;POLR2I;#N/A
708;PRMT1;#N/A
709;ALX1;#N/A
710;TEAD4;#N/A
711;DUSP9;#N/A
712;ZNF281;#N/A
713;MAPK10;#N/A
714;FNIP1;#N/A
715;FGFR4;x
716;DCAF13;#N/A
717;IL12A;#N/A
718;FZD3;#N/A
719;NCBP2;#N/A
720;RIPK2;#N/A
721;KRT32;#N/A
722;MEPE;#N/A
723;TRIP13;x
724;BATF;#N/A
725;EIF3B;#N/A
726;ABCD1;#N/A
727;KLC3;#N/A
728;TMEM132A;#N/A
729;NPPB;#N/A
730;RPL7;#N/A
731;SERPINB3;x
732;MAGEA10;#N/A
733;HAUS7;#N/A
734;NKRF;#N/A
735;H2BC6;#N/A
736;MAT1A;#N/A
737;MKLN1;#N/A
738;FOXQ1;#N/A
739;KRT16;#N/A
740;CBX2;#N/A
741;DLK1;#N/A
742;GTF3A;#N/A
743;PZP;#N/A
744;CARS2;#N/A
745;MFAP2;#N/A
746;CYB5B;#N/A
747;RNF24;#N/A
748;FGF2;x
749;RB1;x
750;IDH3G;#N/A
751;CALCA;#N/A
752;EFNA3;#N/A
753;STAT1;#N/A
754;PHACTR3;#N/A
755;CREBBP;x
756;MAPK13;#N/A
757;TBX20;#N/A
758;H2BC13;#N/A
759;ZNF473;#N/A
760;RFC3;#N/A
761;SUMO4;#N/A
762;ABCG5;#N/A
763;ABCG8;#N/A
764;CST9;#N/A
765;PTCH1;x
766;POLN;#N/A
767;MATN3;#N/A
768;CDKL4;#N/A
769;ATP6V1C1;#N/A
770;IAPP;#N/A
771;ACTB;#N/A
772;ACVR2B;#N/A
773;JADE3;#N/A
774;DIO2;#N/A
775;RP1L1;#N/A
776;RAP2A;#N/A
777;VIRMA;#N/A
778;MASTL;#N/A
779;TRAF6;#N/A
780;NAP1L1;#N/A
781;JAK2;x
782;ADAM17;#N/A
783;F2R;#N/A
784;BRCA2;x
785;ZMYND8;#N/A
786;NFKBIA;x
787;ABCA7;#N/A
788;CDH15;#N/A
789;CDH4;x
790;MTFR1;#N/A
791;USP26;#N/A
792;GSDMA;#N/A
793;CENPE;#N/A
794;MCM7;#N/A
795;OPRD1;#N/A
796;CDK8;x
797;ABCA2;#N/A
798;MAPK11;#N/A
799;ADRM1;#N/A
800;GPR52;#N/A
801;PRKCA;#N/A
802;HEATR1;#N/A
803;STX1A;#N/A
804;CCT3;#N/A
805;FAS;x
806;CLDN6;#N/A
807;LIN7C;#N/A
808;RAC1;x
809;FAM169A;#N/A
810;FAM83C;#N/A
811;PHF20L1;#N/A
812;FGF23;x
813;THOP1;#N/A
814;RNASEH2A;x
815;IL1RN;#N/A
816;BTN1A1;#N/A
817;TUBA4B;#N/A
818;RABGGTB;#N/A
819;ZNF267;#N/A
820;RHOA;x
821;LRRTM2;#N/A
822;INHBE;#N/A
823;RASAL2;#N/A
