No.;Gene name;Oncogene or Tumor Suppresson gene
1;ALDOC;#N/A
2;CTNNB1;x
3;SRMS;#N/A
4;PAQR3;#N/A
5;THEM4;#N/A
6;ZNF239;#N/A
7;FGF19;x
8;CDH7;#N/A
9;GAST;#N/A
10;CDH17;#N/A
11;SOX1;#N/A
12;PTK7;#N/A
13;ARHGEF16;#N/A
14;XDH;#N/A
15;NELL1;#N/A
16;ZNF676;#N/A
17;SOX21;#N/A
18;SOX14;#N/A
19;TTPAL;#N/A
20;TXNDC2;#N/A
21;EGFR;x
22;HHIPL2;#N/A
23;DDIT4L;#N/A
24;NPM3;#N/A
25;ALDOA;#N/A
26;RRM1;#N/A
27;ALB;#N/A
28;MYC;x
29;TPI1;#N/A
30;HSPB1;#N/A
31;TF;#N/A
32;GOLM1;#N/A
33;SOX2;x
34;AKT1;x
35;APOBEC3B;#N/A
36;RAF1;x
37;NOP56;#N/A
38;APEX1;#N/A
39;UCK2;#N/A
40;SGK2;#N/A
41;BZW2;#N/A
42;KRAS;x
43;SFN;#N/A
44;IRAK1;#N/A
45;ALDH18A1;#N/A
46;GAPDH;#N/A
47;PABPC4;#N/A
48;MSH6;x
49;XRCC5;#N/A
50;APOA1;#N/A
51;PRKDC;x
52;STK39;#N/A
53;LMNA;x
54;LMNB1;#N/A
55;TOP2A;x
56;FGFR4;x
57;PSAT1;#N/A
58;HMGB2;#N/A
59;TP63;x
60;RFC4;#N/A
61;EP300;x
62;CCT5;#N/A
63;SNRPG;#N/A
64;ENO1;#N/A
65;ALOX5;#N/A
66;EGF;#N/A
67;NPM1;x
68;IMPDH2;#N/A
69;TK1;#N/A
70;MAPK14;#N/A
71;RRM2;#N/A
72;ERBB2;x
73;CREBBP;x
74;EPHA3;x
75;SMARCC1;#N/A
76;TAF1L;#N/A
77;EPHA8;#N/A
78;EIF2AK1;#N/A
79;HNRNPA1;#N/A
80;MAP2K1;x
81;FGFR3;x
82;HELLS;#N/A
83;TYMS;#N/A
84;OPN3;#N/A
85;INSRR;#N/A
86;MLH1;x
87;BRAF;x
88;ATM;x
89;HRAS;x
90;MRPL12;#N/A
91;FBL;#N/A
92;ARAF;x
93;PIK3CA;x
94;HOXB7;#N/A
95;SFXN1;#N/A
96;FASTK;#N/A
97;KDR;x
98;NCL;#N/A
99;NAA10;#N/A
100;SOS1;x
101;SUCLG2;#N/A
102;MYO18B;#N/A
103;STK11;x
104;RASA1;x
105;RRS1;#N/A
106;PSKH2;#N/A
107;PPP3CA;#N/A
108;FGFR2;x
109;KEAP1;x
110;EIF2B5;#N/A
111;XRCC6;#N/A
112;EIF2B4;#N/A
113;ERN1;#N/A
114;EIF2B1;x
115;EFNA4;#N/A
116;SATB1;#N/A
117;TTN;#N/A
118;APC;x
119;TAOK3;#N/A
120;NRAS;x
121;EIF2AK2;#N/A
122;SFTPC;#N/A
123;LATS1;x
124;FLT1;x
125;TRIM33;#N/A
126;HSD17B10;#N/A
127;RPL10A;#N/A
128;VAV1;x
129;FOXO3;#N/A
130;PLK2;#N/A
131;NTRK2;x
132;CDH18;#N/A
133;ALK;x
134;ATR;x
135;CSNK1E;#N/A
136;GAR1;#N/A
137;IRAK2;#N/A
138;LDHA;#N/A
139;GART;#N/A
140;BAP1;x
141;MSH3;x
142;RPSA;#N/A
143;TNK2;#N/A
144;ANXA5;#N/A
145;LATS2;x
146;TOMM40;#N/A
147;AATK;#N/A
148;JUNB;#N/A
149;RPL13A;#N/A
150;RPL27A;#N/A
151;ANP32A;#N/A
152;XPC;x
153;IPO5;#N/A
154;EPHA5;#N/A
155;TTF1;#N/A
156;PCBD1;#N/A
157;NTRK3;x
158;IPO4;#N/A
159;KSR2;x
160;ANXA1;#N/A
161;EIF3E;#N/A
162;NUDT21;#N/A
163;HK2;#N/A
164;SLC4A7;#N/A
165;ERCC1;x
166;RCL1;#N/A
167;TNK1;#N/A
168;AURKC;#N/A
169;ACSL4;#N/A
170;ULK1;#N/A
171;ATP5PD;#N/A
172;SLC4A4;#N/A
173;WNK1;#N/A
174;SLC19A1;#N/A
175;PRKD2;#N/A
176;DDR2;x
177;ARHGAP35;x
178;PPAN;#N/A
179;NOP58;#N/A
180;FASN;#N/A
181;EML4;#N/A
182;NEK1;#N/A
183;AHR;#N/A
184;MRPS5;#N/A
185;TNFSF10;#N/A
186;CSRP3;#N/A
187;KLF5;x
