No.;Gene name;Oncogene or Tumor Suppresson gene
1;SUMO2;#N/A
2;EGFR;x
3;TP53;x
4;FN1;#N/A
5;MYC;x
6;CDC5L;#N/A
7;VCAM1;#N/A
8;SNW1;#N/A
9;ESR1;x
10;GRB2;#N/A
11;HSP90AA1;x
12;HDAC1;x
13;RIPK4;#N/A
14;CTNNB1;x
15;TRAF6;#N/A
16;YWHAB;#N/A
17;YWHAZ;#N/A
18;ATM;x
19;ARRB2;#N/A
20;KDM1A;#N/A
21;ALB;#N/A
22;ESR2;#N/A
23;MATR3;#N/A
24;HNRNPU;#N/A
25;BRCA1;x
26;AGO3;#N/A
27;TERF1;#N/A
28;CREB1;x
29;MRPL58;#N/A
30;NPM1;x
31;RIF1;#N/A
32;EGLN3;#N/A
33;EP300;x
34;PIKFYVE;#N/A
35;BIRC6;#N/A
36;USP34;#N/A
37;RPL10;#N/A
38;CDK2;#N/A
39;SUMO1;#N/A
40;TRAF2;#N/A
41;IQCB1;#N/A
42;MKLN1;#N/A
43;AR;x
44;MYCBP2;#N/A
45;PHC3;#N/A
46;ZDHHC17;#N/A
47;MYH9;#N/A
48;LNPEP;#N/A
49;ATF2;#N/A
50;PIK3C2A;#N/A
51;POT1;x
52;ARRB1;#N/A
53;RELA;#N/A
54;SHPRH;#N/A
55;ATXN1;#N/A
56;HSPA8;#N/A
57;APC;x
58;HSP90AB1;#N/A
59;MDM2;x
60;MAP3K2;#N/A
61;AKAP9;#N/A
62;DICER1;x
63;MAPK6;#N/A
64;WDFY3;#N/A
65;VPS13B;#N/A
66;YWHAG;#N/A
67;CEP350;#N/A
68;ARID2;x
69;NPAT;#N/A
70;TAOK1;#N/A
71;BAZ2B;#N/A
72;DMXL1;#N/A
73;SRC;x
74;USP45;#N/A
75;TNRC6B;#N/A
76;RC3H1;#N/A
77;PPP1CA;#N/A
78;FLNA;#N/A
79;SETX;#N/A
80;GOLT1B;#N/A
81;CENPC;#N/A
82;ILK;#N/A
83;CAPZA2;#N/A
84;IKBKG;#N/A
85;CFTR;#N/A
86;ATRX;x
87;BRWD1;#N/A
88;SMAD3;x
89;AKAP11;#N/A
90;ALMS1;#N/A
91;JUN;x
92;RNF169;#N/A
93;XRN1;#N/A
94;TERF2IP;#N/A
95;VPS13C;#N/A
96;ZNF451;#N/A
97;HNRNPA1;#N/A
98;TTBK2;#N/A
99;LARP7;#N/A
100;KIAA1109;#N/A
101;PLK1;#N/A
102;RPAP2;#N/A
103;MON2;#N/A
104;TET2;x
105;BTAF1;#N/A
106;HDAC2;x
107;CREBBP;x
108;SCAF11;#N/A
109;EWSR1;x
110;MGA;x
111;OTUB1;#N/A
112;CHD9;#N/A
113;H2AX;#N/A
114;HELZ;#N/A
115;TRPM7;#N/A
116;LTN1;#N/A
117;REL;x
118;NUFIP2;#N/A
119;POU2F1;#N/A
120;HIF1AN;#N/A
121;SMG1;x
122;VAPA;#N/A
123;MAB21L2;#N/A
124;DGKH;#N/A
125;N4BP2L2;#N/A
126;UBE2I;#N/A
127;CLTC;#N/A
128;YWHAQ;#N/A
129;MYSM1;#N/A
130;PTAR1;#N/A
131;RBM12B;#N/A
132;FER;#N/A
133;GDAP2;#N/A
134;MDFI;#N/A
135;ANKRD12;#N/A
136;REST;x
137;BRAF;x
138;SYNCRIP;#N/A
139;PHIP;#N/A
140;DCP2;#N/A
141;PUS7L;#N/A
142;RO60;#N/A
143;MAP3K1;x
144;AAK1;#N/A
145;USP37;#N/A
146;PPP1CC;#N/A
147;NKTR;#N/A
