No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;CDH7;0.027706132;#N/A
2;POU3F2;0.01416942;x
3;PCDHA4;0.014109103;#N/A
4;CTNNB1;0.011825427;x
5;SOX1;0.009571754;#N/A
6;CCL18;0.009556797;#N/A
7;FABP5;0.009465676;#N/A
8;NANOG;0.007578808;#N/A
9;ETV4;0.007382703;x
10;TP53;0.006615341;x
11;EP300;0.006594532;x
12;ETV1;0.00598878;x
13;TP53INP1;0.005905921;#N/A
14;CDH17;0.005881764;#N/A
15;NKX2-5;0.005234176;#N/A
16;ATF5;0.004418172;#N/A
17;TWIST1;0.00439814;#N/A
18;LIPF;0.00367466;#N/A
19;CHD4;0.003498588;x
20;MUC1;0.003391679;#N/A
21;NEK1;0.003265665;#N/A
22;SMYD2;0.003149661;#N/A
23;ERG;0.003036148;x
24;NEUROD1;0.002972824;#N/A
25;MYB;0.002932229;x
26;MED12;0.002890612;x
27;BRAF;0.002736844;x
28;TTI1;0.002671924;#N/A
29;CDK5R1;0.002655465;#N/A
30;MATK;0.002547862;#N/A
31;HEY2;0.002499697;#N/A
32;LRRK2;0.002488955;#N/A
33;NCOR1;0.002472456;x
34;PIK3CA;0.002451171;x
35;ATM;0.00242954;x
36;CDKN1B;0.002408909;x
37;RAD51;0.002403621;x
38;APC;0.002398575;x
39;PRKDC;0.002362942;x
40;NCOR2;0.002318782;#N/A
41;FOXA1;0.002283663;x
42;GRIN2A;0.002282539;x
43;BRCA2;0.002272215;x
44;TP53BP1;0.002261072;x
45;SETD2;0.002247835;x
46;SPEN;0.002244107;x
47;TPR;0.002243686;#N/A
48;SPOP;0.002242141;x
49;ARID2;0.002241607;x
50;CDK12;0.002230712;x
51;FAT4;0.002225631;#N/A
52;RELN;0.002225572;#N/A
53;PTPRC;0.00222392;#N/A
54;KDM6A;0.002221526;x
55;EPHB1;0.002216663;x
56;ZNF292;0.002215563;x
57;RNF213;0.002213933;#N/A
58;ERF;0.002213266;x
59;LRP1B;0.002213031;x
60;SMARCA1;0.00221037;x
61;MYH11;0.002209045;x
62;ZMYM3;0.002206547;x
63;ZFHX3;0.002205571;x
64;PCLO;0.002203228;#N/A
65;HNF1A;0.002201651;x
66;ABCB1;0.002201531;x
67;FOXG1;0.002193496;#N/A
68;FRMPD1;0.002190884;#N/A
69;KAT2A;0.002082022;#N/A
70;SOX14;0.001993073;#N/A
71;CAMKK2;0.001993026;#N/A
72;GAPDH;0.001837149;#N/A
73;MEPE;0.001785532;#N/A
74;PIK3R1;0.001775475;x
75;AKT1;0.00173408;x
76;GRB2;0.001675784;#N/A
77;EGFR;0.001525137;x
78;CCNH;0.001509134;#N/A
79;TERT;0.001485748;x
80;AMER3;0.001459939;#N/A
81;NKX6-1;0.001455427;#N/A
82;ALLC;0.001414144;#N/A
83;MAPK1;0.001374659;x
84;CCNE1;0.001310355;x
85;POU4F1;0.001289338;#N/A
86;CBX2;0.001279793;#N/A
87;HRAS;0.001277431;x
88;CBWD1;0.001240503;#N/A
89;SRC;0.001228223;x
90;E2F1;0.001210838;#N/A
91;RAF1;0.001208448;x
92;CD300LF;0.001206915;#N/A
93;PIK3R2;0.00120354;x
94;MAPK3;0.001195059;x
95;GRIN3A;0.00119449;#N/A
96;PSG11;0.001161055;#N/A
97;IGF2BP1;0.001152786;#N/A
98;GRIN3B;0.001134933;#N/A
99;MTCP1;0.001130382;#N/A
100;MAGEC2;0.001107098;#N/A
101;EFNB2;0.001103383;#N/A
102;MYC;0.00110336;x
103;ZFP41;0.001102885;#N/A
104;TUBB2A;0.001086061;#N/A
105;TUBB4A;0.001084612;#N/A
106;PIK3R3;0.00107934;x
107;RHBDL1;0.001074019;#N/A
108;MAK;0.001068788;#N/A
109;HDAC1;0.00106149;x
110;KRAS;0.001060922;x
111;CRYBA2;0.001055355;#N/A
112;ALB;0.001043664;#N/A
113;MAGEA3;0.001043533;#N/A
114;RELA;0.001043032;#N/A
115;PIK3CB;0.00102731;x
116;NRAS;0.001006472;x
117;TK1;0.000999473;#N/A
118;SLC25A6;0.000989077;#N/A
119;AVPR1B;0.000981655;#N/A
120;JUN;0.000976417;x
121;PROC;0.000965505;#N/A
122;SOS1;0.000965195;x
123;SMAD2;0.000936171;x
124;PCSK1;0.000933891;#N/A
125;HIF1A;0.000914646;x
126;ESR1;0.000913736;x
127;BAX;0.000913452;#N/A
128;PQBP1;0.000913353;#N/A
129;MAP2K1;0.000911701;x
130;SCRIB;0.000904832;#N/A
131;RPA4;0.000901428;#N/A
132;MAPK14;0.000889381;#N/A
133;PIK3CD;0.000868872;x
134;EFNA3;0.000860339;#N/A
135;HSP90AA1;0.000858648;x
136;FAM222A;0.000856473;#N/A
137;NFATC1;0.000856095;#N/A
138;CAMK1D;0.000853068;#N/A
139;FOXN4;0.000851204;x
140;LPXN;0.000844036;#N/A
141;VGLL3;0.00084337;#N/A
