No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;CTNNB1;0.008699215;x
2;TP53;0.006470856;x
3;CDH7;0.005543425;#N/A
4;EP300;0.005295143;x
5;EGFR;0.003039416;x
6;POU3F2;0.002854531;x
7;PCDHA4;0.002831109;#N/A
8;GRB2;0.002759167;#N/A
9;HDAC1;0.002501606;x
10;MYC;0.002493003;x
11;PIK3R1;0.002362515;x
12;ESR1;0.002164041;x
13;AKT1;0.002150881;x
14;SOX1;0.002136451;#N/A
15;CCL18;0.002028207;#N/A
16;FABP5;0.001920684;#N/A
17;ERG;0.001804738;x
18;FN1;0.001796965;#N/A
19;SRC;0.001778313;x
20;JUN;0.001737303;x
21;RELA;0.001733215;#N/A
22;BRCA1;0.001685705;x
23;CHD4;0.001683223;x
24;MAPK1;0.001664177;x
25;NANOG;0.001623578;#N/A
26;CREBBP;0.001618943;x
27;HSP90AA1;0.0015792;x
28;SUMO2;0.001525799;#N/A
29;GAPDH;0.001505406;#N/A
30;ETV4;0.001491029;x
31;HDAC2;0.001437466;x
32;YWHAB;0.001371777;#N/A
33;RAF1;0.00137074;x
34;CDH17;0.001358173;#N/A
35;SMAD3;0.001327654;x
36;AR;0.001311337;x
37;SNW1;0.001308037;#N/A
38;CDK2;0.001233214;#N/A
39;ETV1;0.001229603;x
40;NKX2-5;0.001223815;#N/A
41;MDM2;0.001213843;x
42;TP53INP1;0.001208444;#N/A
43;PIK3CA;0.001199748;x
44;MED12;0.001183764;x
45;ATM;0.001167062;x
46;MAPK14;0.001140434;#N/A
47;NCOR1;0.001107718;x
48;STAT3;0.001091788;x
49;YWHAZ;0.00108578;#N/A
50;BRAF;0.001079527;x
51;MAPK3;0.001077987;x
52;SMAD2;0.001069136;x
53;PIK3R2;0.001047309;x
54;GSK3B;0.001007469;x
55;QRSL1;0.000985553;#N/A
56;TWIST1;0.000985135;#N/A
57;ERBB2;0.000978537;x
58;CDKN1A;0.000976174;x
59;SHC1;0.000975437;#N/A
60;PTPN11;0.000974397;x
61;HIF1A;0.000973431;x
62;FOS;0.000965828;#N/A
63;RB1;0.000948488;x
64;LRRK2;0.000944166;#N/A
65;H2AX;0.000942595;#N/A
66;RBPJ;0.000940315;#N/A
67;CDC5L;0.000936167;#N/A
68;ATF5;0.000927439;#N/A
69;SUMO1;0.000926283;#N/A
70;APC;0.000923745;x
71;KDM1A;0.000918287;#N/A
72;CDKN1B;0.000911756;x
73;SOS1;0.000911425;x
74;CD300LF;0.00091125;#N/A
75;PRKDC;0.000911138;x
76;ALB;0.000906024;#N/A
77;HRAS;0.000904513;x
78;ATF2;0.000901336;#N/A
79;FYN;0.00089817;x
80;RAD51;0.000893102;x
81;NOTCH1;0.000892395;x
82;KAT2B;0.00088147;#N/A
83;ARRB2;0.000879732;#N/A
84;CAMK1D;0.000877464;#N/A
85;SP1;0.000868217;#N/A
86;MET;0.000864765;x
87;CREB1;0.000862624;x
88;LIPF;0.000861634;#N/A
89;NCOR2;0.000860456;#N/A
90;IQGAP1;0.000856453;x
91;UBE2I;0.000850613;#N/A
92;PTK2;0.000841299;#N/A
93;E2F1;0.000835023;#N/A
94;IKBKG;0.000834389;#N/A
95;SMC1A;0.000822619;x
96;NR0B1;0.000810505;#N/A
