No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;SUMO2;0.00118534;#N/A
2;CDC5L;0.001099562;#N/A
3;EGFR;0.001077345;x
4;EP300;0.000994635;x
5;TP53;0.00098087;x
6;FN1;0.00097967;#N/A
7;MYC;0.000880541;x
8;VCAM1;0.000821673;#N/A
9;ITCH;0.000802102;#N/A
10;CREB1;0.000780675;x
11;SNW1;0.000769875;#N/A
12;SCAF11;0.000749049;#N/A
13;FBXO11;0.000744217;x
14;ESR1;0.000720895;x
15;PIK3C2A;0.000704418;#N/A
16;NUP153;0.000691942;#N/A
17;RIPK4;0.000687879;#N/A
18;USP9X;0.000683467;#N/A
19;CREBBP;0.000674063;x
20;FRS2;0.000673005;x
21;PBRM1;0.000672295;x
22;HSP90AA1;0.000669815;x
23;HDAC1;0.000665146;x
24;TRAF6;0.000663839;#N/A
25;GRB2;0.000642663;#N/A
26;YWHAZ;0.000630373;#N/A
27;ATRX;0.000628827;x
28;CUL3;0.000625231;x
29;OTUD4;0.000624456;#N/A
30;LATS1;0.000621259;x
31;RSF1;0.000620939;#N/A
32;SP1;0.000619754;#N/A
33;BRCA1;0.000613424;x
34;GTF2I;0.000610595;x
35;SMC1A;0.000602927;x
36;HECTD1;0.000600005;#N/A
37;RASA1;0.000597173;x
38;ZFR;0.00059682;#N/A
39;FLNA;0.000596802;#N/A
40;ATF2;0.000596145;#N/A
41;MED1;0.000593146;#N/A
42;USP34;0.000592659;#N/A
43;YWHAB;0.000591987;#N/A
44;CTDSPL2;0.000588203;#N/A
45;TAF1;0.000587899;x
46;HUWE1;0.000587719;#N/A
47;KDM1A;0.000582472;#N/A
48;SETD2;0.000581408;x
49;REST;0.000581316;x
50;IQGAP1;0.000578385;x
51;MFAP3;0.000572581;#N/A
52;CTNNB1;0.000570421;x
53;BOD1L1;0.000569389;#N/A
54;USP8;0.000567827;x
55;DPP8;0.000565426;#N/A
56;RNF111;0.000564233;#N/A
57;ARID4A;0.000559846;x
58;ARRB2;0.000556927;#N/A
59;NR2C2;0.000552898;#N/A
60;STAG1;0.000550322;x
61;TERF1;0.000547064;#N/A
62;CLTC;0.000546617;#N/A
63;MEF2A;0.000546026;#N/A
64;CCNT1;0.000545116;#N/A
65;BIRC6;0.000545073;#N/A
66;TSTD2;0.000544254;#N/A
67;POLR2B;0.000543845;#N/A
68;SMG1;0.00054146;x
69;ACAP2;0.000540925;#N/A
70;RO60;0.000539508;#N/A
71;CLOCK;0.000537975;#N/A
72;HIPK1;0.00053482;#N/A
73;MAPK1;0.000533425;x
74;ARIH1;0.000532925;#N/A
75;ZMYM4;0.000532783;#N/A
76;NIPBL;0.000532425;#N/A
77;SBF2;0.00053194;#N/A
78;RBM41;0.000531576;#N/A
79;ALB;0.000530331;#N/A
80;MED13L;0.000529945;#N/A
81;IREB2;0.000526946;#N/A
82;AQR;0.000526691;#N/A
83;PTPN11;0.000525939;x
84;TRIP11;0.000523852;#N/A
85;NPAT;0.000523253;#N/A
86;UBR2;0.00052312;#N/A
87;USP37;0.000521316;#N/A
88;HNRNPU;0.000517919;#N/A
89;ZFP91;0.000515637;#N/A
90;ADNP;0.000512877;#N/A
91;SON;0.000512552;#N/A
92;PUM1;0.000511486;#N/A
93;APAF1;0.000506295;#N/A
94;SEC24B;0.000503804;#N/A
95;BPTF;0.000503241;#N/A
96;EGLN3;0.000503089;#N/A
97;PUM2;0.000500832;#N/A
98;MRPL58;0.000499778;#N/A
99;APPL1;0.000498072;#N/A
100;PDS5A;0.00049694;#N/A
101;DENND4C;0.000494575;#N/A
102;SMAD3;0.000493604;x
103;EXOC5;0.000491763;#N/A
104;PHF3;0.000491296;#N/A
105;CEP350;0.000490541;#N/A
106;ELOB;0.000489513;#N/A
107;THOC2;0.000488664;#N/A
108;ARHGAP5;0.000488447;#N/A
109;NF1;0.000488184;x
110;AFF4;0.000488107;x
111;KDM3B;0.000485638;#N/A
112;ARID1B;0.000484928;x
113;TPR;0.000484769;#N/A
114;ASXL2;0.000482803;x
115;KLHL28;0.000481751;#N/A
116;KIDINS220;0.000481071;#N/A
117;DLG1;0.000480419;#N/A
118;SOS1;0.0004804;x
119;KIAA1109;0.000479872;#N/A
120;LRRK2;0.000479805;#N/A
121;IQCB1;0.00047945;#N/A
122;UBR1;0.000479405;#N/A
123;PTAR1;0.000478912;#N/A
124;ATM;0.000477886;x
125;TRAF2;0.000476776;#N/A
126;RPL10;0.000474549;#N/A
127;RUVBL2;0.000474472;#N/A
128;TRAPPC10;0.00047351;#N/A
129;CTNND1;0.00047314;#N/A
130;AURKAIP1;0.000472382;#N/A
131;ITSN2;0.00047226;#N/A
132;SCAF8;0.00047135;#N/A
133;KIF2A;0.00047099;#N/A
134;HELZ;0.000469591;#N/A
135;NPM1;0.00046931;x
136;ARID1A;0.000469049;x
137;WDFY3;0.000468227;#N/A
138;SPAG9;0.000468006;#N/A
139;SETX;0.000467902;#N/A
140;SOS2;0.000467037;#N/A
141;TP53BP1;0.000466851;x
142;TRPM7;0.000466663;#N/A
143;FRYL;0.000466369;#N/A
144;SUMO1;0.000466314;#N/A
145;CHD8;0.000465386;#N/A
146;CDK2;0.000465234;#N/A
147;GSK3B;0.000465081;x
148;BABAM1;0.000465053;#N/A
149;APPBP2;0.000464463;#N/A
150;MATR3;0.000464429;#N/A
151;VPS13C;0.000463405;#N/A
152;CBL;0.000463353;x
153;PRR14L;0.000461448;#N/A
154;SIN3A;0.000458415;#N/A
155;NEMF;0.000457368;#N/A
156;CAPN7;0.00045654;#N/A
157;ESR2;0.000455762;#N/A
158;VRK2;0.000454707;#N/A
159;ANAPC1;0.000454372;#N/A
160;BAZ2A;0.000453793;#N/A
161;ZRANB1;0.000453742;#N/A
162;NDUFA11;0.000453271;#N/A
163;ASH1L;0.000452863;#N/A
164;OTUB1;0.000450675;#N/A
165;AR;0.000450021;x
166;SP3;0.000448687;#N/A
167;BCLAF1;0.000447708;#N/A
168;BMPR2;0.000446019;#N/A
169;PRPF40A;0.000445684;#N/A
170;POT1;0.000444067;x
171;XIAP;0.000442955;x
172;CLASP2;0.000441741;#N/A
