No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;CTNNB1;0.003019172;x
2;LGR5;0.002483968;x
3;FGF9;0.002164965;x
4;PTK7;0.002144693;#N/A
5;ZNRF3;0.002099587;x
6;TLX3;0.002062449;x
7;ETV4;0.001987838;x
8;EGFR;0.001918876;x
9;TP53;0.00179369;x
10;CDH7;0.001706617;#N/A
11;CSMD1;0.00166986;#N/A
12;TLE1;0.001655601;#N/A
13;ERBB2;0.001649952;x
14;GRB7;0.001647749;x
15;LIF;0.001641613;#N/A
16;HES6;0.00162838;#N/A
17;IL12RB2;0.001619369;#N/A
18;FRS2;0.00156701;x
19;RNF43;0.001526661;x
20;FTCD;0.00152538;#N/A
21;COL9A3;0.001523978;#N/A
22;SMC1B;0.001501995;#N/A
23;ZNF239;0.001482697;#N/A
24;HDAC1;0.001478193;x
25;BRCA1;0.001437604;x
26;SOX30;0.001432164;#N/A
27;PROM1;0.001429376;#N/A
28;EP300;0.001380978;x
29;STAT1;0.001376868;#N/A
30;PIWIL4;0.001372774;#N/A
31;SCN8A;0.001370791;#N/A
32;WNT2;0.001369131;#N/A
33;FAAP24;0.001346944;#N/A
34;GLIS3;0.001343129;#N/A
35;SIX3;0.001342795;#N/A
36;TRIM59;0.001325754;#N/A
37;FANCA;0.001312353;x
38;MDM2;0.001309291;x
39;ABHD12B;0.00130479;#N/A
40;AXIN2;0.001297313;x
41;MET;0.001294348;x
42;RAD21;0.00127913;x
43;HSP90AA1;0.00127465;x
44;MSH2;0.001272042;x
45;BLM;0.001260062;x
46;TRAF2;0.001255046;#N/A
47;EGF;0.0012539;#N/A
48;BRIP1;0.001253851;x
49;MSI1;0.001223966;x
50;MYC;0.001221344;x
51;FANCD2;0.001220029;x
52;PAX8;0.001200229;x
53;INHBA;0.001199523;x
54;FANCB;0.00119722;#N/A
55;GRB2;0.00118948;#N/A
56;CREBBP;0.001186406;x
57;NKX2-1;0.001176076;x
58;HIF1A;0.001156922;x
59;SMARCE1;0.001156799;x
60;ESR1;0.001152923;x
61;ARID3A;0.001149782;x
62;PIK3R1;0.001148912;x
63;BCL6;0.001148513;x
64;CHEK1;0.001147933;x
65;HDAC2;0.001131665;x
66;CCNE1;0.001118612;x
67;PTPRO;0.001114216;#N/A
68;MESP2;0.001113419;#N/A
69;FGFR3;0.001110886;x
70;DUSP9;0.001110392;#N/A
71;EPHB1;0.001107336;x
72;DNMT1;0.0011015;x
73;HSP90AB1;0.001095733;#N/A
74;DNMT3B;0.001093975;x
75;CHEK2;0.001086469;x
76;TBL1XR1;0.001080222;x
77;AR;0.001074888;x
78;PRKDC;0.001068282;x
79;NONO;0.001066197;#N/A
80;TRIM24;0.001064382;#N/A
81;KRAS;0.001062231;x
82;POLQ;0.001059015;#N/A
83;JUN;0.001038568;x
84;TOP2A;0.001022174;x
85;PANX3;0.001019193;#N/A
86;HGF;0.001014458;x
87;SALL4;0.000997744;#N/A
88;CABYR;0.000996446;#N/A
89;PLAGL2;0.000995377;#N/A
90;NSD2;0.000991747;x
91;EN1;0.000988583;#N/A
92;HOXA9;0.000985911;#N/A
93;ENC1;0.000985286;#N/A
94;BUB1B;0.000982657;x
95;ACTB;0.000978612;#N/A
96;USP26;0.000975986;#N/A
97;UNC5A;0.000971429;#N/A
98;NFE2;0.000969226;x
99;TERT;0.000952187;x
100;MYCN;0.000941114;x
101;TONSL;0.00093574;#N/A
102;IGF1;0.000934932;x
103;ASPSCR1;0.00093173;#N/A
104;RB1;0.000920889;x
105;SIRPB1;0.0009172;#N/A
106;CDH9;0.00091709;#N/A
107;RAC3;0.000915734;#N/A
108;IRS4;0.000902922;#N/A
109;CITED1;0.000902039;#N/A
110;CDK6;0.000900689;x
111;SUFU;0.000900047;x
112;TRRAP;0.000898063;#N/A
113;SMAD2;0.000897647;x
114;CDH11;0.000893228;x
115;EWSR1;0.000892613;x
116;JAK2;0.000892087;x
117;LMNA;0.00088949;x
118;MKI67;0.000888033;x
119;MUC16;0.000879163;#N/A
120;RRM2B;0.000878627;#N/A
121;MYO7A;0.000875912;#N/A
122;CCL18;0.000875906;#N/A
123;PSAT1;0.000873884;#N/A
124;SMAD4;0.000868001;x
125;GDF15;0.000866086;#N/A
126;HOXC10;0.000861657;#N/A
127;ATAD2;0.00085885;#N/A
128;CAD;0.000858712;x
129;PCDHA4;0.00085776;#N/A
130;RAD54L;0.000856482;#N/A
131;TNFRSF11B;0.000855967;#N/A
132;MAPK1;0.00085144;x
133;SMAD3;0.000846569;x
134;CDK2;0.000834278;#N/A
135;DICER1;0.000834154;x
136;RAF1;0.000824158;x
137;ECSIT;0.000824154;x
138;RECQL4;0.000823784;x
139;H2BC9;0.000823314;#N/A
140;FGFR4;0.000821647;x
141;FANCI;0.000820327;#N/A
142;TRIM72;0.000819723;#N/A
143;ANOS1;0.000818516;#N/A
144;TRIB3;0.000815234;x
145;PARP14;0.000814813;#N/A
146;MTDH;0.000814132;#N/A
147;PIK3R2;0.000813292;x
148;SFRP1;0.000810781;x
149;STAT3;0.000807809;x
150;TNFRSF19;0.000807616;#N/A
151;PAX3;0.00080046;x
152;GSK3B;0.000799929;x
153;TNFSF4;0.000799062;#N/A
154;SLC43A3;0.000794556;#N/A
155;RCN3;0.000794137;#N/A
156;USP1;0.000793548;x
157;KSR2;0.000792952;x
158;HOXD13;0.000791456;#N/A
159;CD177;0.000785584;#N/A
160;FGF14;0.000784383;x
161;TOPBP1;0.000783753;#N/A
162;MYB;0.000783431;x
163;CADPS;0.000782314;#N/A
164;NKX2-5;0.000781335;#N/A
165;SKIL;0.000780409;#N/A
166;IL6ST;0.00077935;x
167;DDX10;0.000772109;#N/A
168;CD58;0.000769139;x
169;HOXD10;0.000767316;#N/A
170;CDK12;0.000765352;x
171;NUF2;0.000761441;x
172;ROS1;0.000760712;x
173;PTPRU;0.000758737;#N/A
174;STIL;0.000751184;#N/A
175;HOXD12;0.000749613;#N/A
176;INHBB;0.000749363;#N/A
177;PCNA;0.000748735;#N/A
178;CENPS;0.000747227;#N/A
179;SUMO2;0.000747191;#N/A
180;C1QTNF6;0.000746267;#N/A
181;NOTCH1;0.000741677;x
182;DKK1;0.000741308;#N/A
183;NOTUM;0.000740991;#N/A
184;SS18L1;0.000740732;#N/A
185;IGFBP1;0.000739721;#N/A
186;SFRP4;0.000737649;#N/A
187;RELA;0.000732033;#N/A
188;ATM;0.000731711;x
189;C11orf16;0.000728509;#N/A
190;CCND1;0.000726701;x
191;KIF1A;0.000725558;#N/A
192;ISYNA1;0.000723194;#N/A
193;SMC3;0.000722554;x
194;AIRE;0.000721261;#N/A
195;RHOA;0.00072081;x
196;MAPK3;0.000719644;x
197;BATF2;0.000719177;#N/A
198;GRIN3B;0.00071852;#N/A
199;TGIF1;0.000718403;#N/A
200;POLN;0.000717549;#N/A
201;ALB;0.00071576;#N/A
202;COL1A1;0.000712312;x
203;ATIC;0.000711862;x
204;FGFR2;0.000710814;x
205;SMARCA4;0.000710055;x
206;ANKRD13B;0.000707903;#N/A
207;E2F1;0.000705959;#N/A
208;TLX1;0.00070233;x
209;POLD1;0.000699124;x
210;MSX2;0.000699021;#N/A
211;CHD4;0.000698908;x
212;CHD7;0.000698589;#N/A
213;CLEC2L;0.000694157;#N/A
214;PPP4R2;0.000690862;#N/A
215;INHA;0.000689934;x
216;PTDSS1;0.000689513;#N/A
217;GPC3;0.000688632;x
218;YEATS4;0.000688051;#N/A
219;FYN;0.000686961;x
220;PML;0.000686806;x
221;XPO1;0.000686767;x
222;MLH1;0.000686249;x
223;E2F3;0.000685776;x
224;LAMA3;0.00068556;#N/A
225;POLA1;0.000685556;#N/A
226;TAF7L;0.000683865;#N/A
227;MSH4;0.000683294;#N/A
228;PLCG1;0.000682902;x
229;POT1;0.000678843;x
230;DIS3;0.000678659;x
231;AKT1;0.000678268;x
232;PTPN11;0.000676534;x
233;PARP1;0.000676084;x
234;HHIPL2;0.00067552;#N/A
235;CDC5L;0.000675017;#N/A
236;FOXL2;0.000674826;x
237;KDM1A;0.000672127;#N/A
238;CENPE;0.0006702;#N/A
239;LIFR;0.000669853;#N/A
240;TCF3;0.000669386;x
241;FGFR1;0.000668843;x
242;DNMT3L;0.000667121;#N/A
243;BCOR;0.000665811;x
244;NCOR1;0.000665196;x
245;KAT2A;0.000664642;#N/A
246;CHRND;0.000663214;#N/A
247;FAM133B;0.000661257;#N/A
248;NRCAM;0.000660841;#N/A
249;DBR1;0.000660382;#N/A
250;DLGAP1;0.000658402;#N/A
251;TNFSF18;0.000657047;#N/A
252;KIF24;0.000652893;#N/A
253;YWHAE;0.000651742;#N/A
254;FANCG;0.000650315;x
255;SRC;0.000649519;x
256;CUL3;0.000648952;x
257;MAGEA8;0.000647722;#N/A
258;STAT4;0.000646638;x
259;CDCA5;0.000646271;#N/A
260;PPP2R1A;0.000646185;x
261;CSTF1;0.000644418;#N/A
262;CBL;0.000644075;x
263;JAK1;0.000643822;x
264;RPL10;0.000643616;#N/A
265;PIK3CA;0.000642293;x
266;NEK3;0.000640473;#N/A
267;ERBB3;0.000640312;x
268;EZH2;0.000638405;x
269;PAXIP1;0.000638177;#N/A
270;PDGFRB;0.000633992;x
271;BUB1;0.000630065;#N/A
272;IKBKB;0.000628372;#N/A
273;PROX1;0.000627687;#N/A
274;RARA;0.000626862;#N/A
275;ABL1;0.00062427;x
276;IL37;0.000624135;#N/A
277;SOX4;0.000622847;#N/A
278;RAD1;0.000622314;#N/A
279;STRAP;0.00062173;#N/A
280;APC;0.000619991;x
281;EFNA1;0.000619807;#N/A
282;CEACAM5;0.000619702;#N/A
283;SYK;0.00061713;x
284;GNE;0.000615148;#N/A
285;CDKN1A;0.000612822;x
286;LYN;0.000612437;x
287;IGF2;0.000609777;x
288;GCM1;0.00060891;#N/A
289;GRM3;0.000608803;#N/A
290;BRAF;0.000607632;x
291;PGBD5;0.000606771;x
292;ARHGAP26;0.000605662;x
293;IGF1R;0.000604593;x
294;DLX4;0.000604537;#N/A
295;EED;0.000604386;x
296;PTGES3;0.000603849;#N/A
297;FANCM;0.000602772;x
298;SOS1;0.000601852;x
299;ONECUT1;0.000601291;#N/A
300;MTOR;0.000601036;x
301;CABLES2;0.000600222;#N/A
302;MCF2L;0.000598692;#N/A
303;RXRA;0.000598466;#N/A
304;TTI1;0.000598372;#N/A
305;GATAD1;0.000598151;#N/A
306;MSH6;0.000597421;x
307;POFUT1;0.00059718;#N/A
308;AXIN1;0.000596321;x
309;MAP2K1;0.000595707;x
310;IRS1;0.000595245;x
311;IQGAP1;0.000594528;x
312;ATR;0.000593224;x
313;ZBTB16;0.000592402;#N/A
314;KIAA1549;0.000591539;#N/A
315;PROCR;0.000589893;#N/A
316;NFE2L3;0.000588866;#N/A
317;PIK3R3;0.000587744;x
318;SFPQ;0.000586905;#N/A
319;MYH9;0.000586838;#N/A
320;KIT;0.000584623;x
321;NKRF;0.000584461;#N/A
322;PMEPA1;0.000583751;#N/A
323;BCL2;0.000583602;x
324;CDC25A;0.000583096;#N/A
325;CBX2;0.000581998;#N/A
326;EPHB4;0.000580547;x
327;SNCAIP;0.00058016;#N/A
328;INSR;0.000579387;x
329;HAND1;0.000578668;#N/A
330;WDR90;0.00057834;#N/A
331;SMC1A;0.000577855;x
332;ASXL1;0.000577089;x
333;ERBB4;0.000575894;x
334;RNF144A;0.000575853;#N/A
335;OSM;0.000575558;#N/A
336;TCF12;0.000573627;#N/A
337;TNFRSF11A;0.000572931;#N/A
338;TAF1;0.000571783;x
339;FANCL;0.000571086;x
340;MORC4;0.000569418;#N/A
341;HSPH1;0.000568625;#N/A
342;PTCH1;0.000566842;x
343;ATP2B3;0.000566718;#N/A
344;SERPINH1;0.000566306;#N/A
345;STAT5A;0.000566032;x
346;EXT2;0.000565251;#N/A
347;JRKL;0.000564912;#N/A
348;RPGRIP1;0.000564798;#N/A
349;SSX4;0.000564596;#N/A
350;PPFIA1;0.000562873;#N/A
351;BARD1;0.000561965;x
352;STRN;0.000561556;#N/A
353;IL13RA2;0.000561305;#N/A
354;USP29;0.000560941;#N/A
355;NCOR2;0.000560211;#N/A
356;SIX4;0.000559675;#N/A
357;CD276;0.000559607;x
358;RUNX2;0.00055897;#N/A
359;FOXH1;0.000558957;#N/A
360;CLTC;0.000558801;#N/A
361;HDAC4;0.000555154;x
362;COL5A2;0.000554497;#N/A
363;KDR;0.000554246;x
364;CLIP1;0.000554073;#N/A
365;PAX2;0.000553577;#N/A
366;CDH2;0.000552811;x
367;CDH1;0.000552687;x
368;ARAF;0.000552487;x
369;NR4A3;0.000552103;x
370;FGF3;0.000551759;x
371;IRF1;0.000550433;x
372;BRCA2;0.000549939;x
373;MEPE;0.000548928;#N/A
374;PEX1;0.00054865;#N/A
375;LRP6;0.000548357;x
376;EXO1;0.00054782;#N/A
377;GRIN2A;0.000546885;x
378;PPARG;0.000546764;x
379;ACVR2A;0.000546023;x
380;TNFSF11;0.00054585;#N/A
381;AURKA;0.000545597;x
382;SMARCA2;0.000545324;x
383;ACTBL2;0.000544839;#N/A
384;RASA1;0.000544546;x
385;FANCC;0.000544352;x
386;NCOA1;0.000543664;#N/A
387;ACVR1;0.000543658;x
388;GLI1;0.000543212;x
389;AMHR2;0.000542857;#N/A
390;MAP3K7;0.000542345;x
391;RAD50;0.000542134;x
392;EPHA3;0.000540377;x
393;CHTF18;0.000539381;#N/A
394;STK11;0.000539055;x
395;PPM1H;0.000538257;#N/A
396;TUBA3C;0.000537877;#N/A
397;LEF1;0.000537241;x
398;EPHB2;0.00053618;#N/A
399;VAV1;0.000535611;x
400;CD274;0.000534788;x
401;ALOX5;0.000532335;#N/A
402;PCM1;0.000531795;#N/A
403;NFKB2;0.000530761;#N/A
404;NBN;0.000530735;x
405;ACVR1B;0.000529463;x
406;KEAP1;0.000529169;x
407;WDR5;0.00052912;#N/A
408;SET;0.000528569;x
409;TEK;0.000528266;#N/A
410;EP400;0.000526994;x
411;PBX1;0.000526257;#N/A
412;RAE1;0.000525573;#N/A
413;NUP214;0.000525008;x
414;PNMT;0.000524956;#N/A
415;FAM131B;0.000524855;#N/A
416;PTPRK;0.000524725;#N/A
417;RUVBL2;0.000523227;#N/A
418;FAS;0.000522701;x
419;CSF1R;0.000522221;#N/A
420;NKD1;0.000521937;#N/A
421;CASP8;0.00052175;x
422;NRG1;0.000521096;x
423;PLAG1;0.000520838;#N/A
424;MAT1A;0.000520587;#N/A
425;PIK3CB;0.000520584;x
426;WT1;0.000520203;x
