No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;TP53;0.004377855;x
2;EGFR;0.003875193;x
3;CTNNB1;0.003351838;x
4;GRB2;0.003312752;#N/A
5;HDAC1;0.002911394;x
6;EP300;0.002897892;x
7;PIK3R1;0.002833735;x
8;MYC;0.002716576;x
9;ESR1;0.002599555;x
10;BRCA1;0.002211444;x
11;AKT1;0.002021214;x
12;SRC;0.00198811;x
13;RELA;0.001963607;#N/A
14;CREBBP;0.001905889;x
15;JUN;0.001901911;x
16;MDM2;0.001845564;x
17;HSP90AA1;0.001780725;x
18;SUMO2;0.001754709;#N/A
19;HDAC2;0.001704577;x
20;SMAD4;0.001660069;x
21;MAPK1;0.001653216;x
22;SMAD2;0.001651236;x
23;FN1;0.001643029;#N/A
24;SMAD3;0.001596592;x
25;SNW1;0.001580864;#N/A
26;ERBB2;0.001528415;x
27;AR;0.001507466;x
28;RAF1;0.001497909;x
29;YWHAZ;0.001461859;#N/A
30;YWHAB;0.001431283;#N/A
31;TRAF2;0.001366469;#N/A
32;CDK2;0.001357378;#N/A
33;PSME3;0.001351238;#N/A
34;PIK3R2;0.001331337;x
35;MET;0.001317499;x
36;STAT3;0.0012938;x
37;SHC1;0.001270166;#N/A
38;MAPK14;0.001255022;#N/A
39;FRS2;0.001207282;x
40;NPM1;0.001191225;x
41;CDC5L;0.001179325;#N/A
42;RB1;0.001179137;x
43;PIK3CA;0.001177256;x
44;MAPK3;0.001167202;x
45;TLE1;0.001165173;#N/A
46;JAK2;0.001142489;x
47;PTPN11;0.00114097;x
48;HSP90AB1;0.001130497;#N/A
49;HIF1A;0.001111138;x
50;GRB7;0.001096533;x
51;NOTCH1;0.001095188;x
52;ZNRF3;0.001055178;x
53;PLCG1;0.001053147;x
54;SUMO1;0.001044301;#N/A
55;GSK3B;0.001031752;x
56;H2AX;0.001026185;#N/A
57;KDM1A;0.001022814;#N/A
58;FYN;0.000988106;x
59;SMARCA4;0.000984653;x
60;ATM;0.000967381;x
61;ACTB;0.00096042;#N/A
62;ALB;0.000942987;#N/A
63;YEATS4;0.000938062;#N/A
64;CAPZA2;0.000932446;#N/A
65;ARRB2;0.000931489;#N/A
66;FGFR3;0.000927858;x
67;PCNA;0.000920578;#N/A
68;CBX8;0.00091733;#N/A
69;IKBKG;0.000903749;#N/A
70;PTK2;0.000903736;#N/A
71;PML;0.000895682;x
72;BLM;0.000893608;x
73;BCL6;0.000893478;x
74;SP1;0.000890882;#N/A
75;ATF2;0.000889435;#N/A
76;CBL;0.000888403;x
77;RNF43;0.000887099;x
78;DHX9;0.000885218;#N/A
79;HDAC3;0.000882583;#N/A
80;UBE2I;0.000877807;#N/A
81;FOS;0.000876221;#N/A
82;H3C2;0.000872071;#N/A
83;SOS1;0.0008687;x
84;PPP2R1A;0.000865505;x
85;NFKB1;0.000861178;#N/A
86;CDKN1A;0.000857033;x
87;CHUK;0.0008484;#N/A
88;IQGAP1;0.000844511;x
89;STAT1;0.000844383;#N/A
90;CDCA5;0.000841995;#N/A
91;CST4;0.000837777;#N/A
92;XPO1;0.000836901;x
93;H4C13;0.000833812;#N/A
94;PARP1;0.000829467;x
95;FGFR1;0.000822338;x
96;HRAS;0.000814387;x
97;PPP2CA;0.000812803;#N/A
98;PIK3R3;0.000802094;x
99;NCOR1;0.000797254;x
100;CSNK2A1;0.00079174;#N/A
101;IKBKB;0.000784768;#N/A
102;ABL1;0.0007812;x
103;MAP2K1;0.000778565;x
104;SUV39H1;0.000776749;#N/A
105;ARRB1;0.000776004;#N/A
106;NELFB;0.000766397;#N/A
107;RAC1;0.000765443;x
108;E2F1;0.000764422;#N/A
109;YWHAE;0.000758241;#N/A
110;ESR2;0.000756237;#N/A
111;PDGFRB;0.000751422;x
112;RUVBL2;0.000748483;#N/A
113;PABPC1;0.000746336;#N/A
114;YWHAG;0.000745735;#N/A
115;PTPN6;0.000744387;#N/A
116;MTOR;0.000741438;x
117;BUB1B;0.000741199;x
118;RBBP4;0.000740796;#N/A
119;MYH9;0.00074058;#N/A
120;WDR5;0.000728504;#N/A
121;VCAM1;0.000728479;#N/A
122;CLTC;0.000725885;#N/A
123;SIN3A;0.000724089;#N/A
124;RARA;0.000716352;#N/A
125;EZH2;0.000713001;x
126;NR3C1;0.000712939;#N/A
127;EGLN3;0.000712505;#N/A
128;CDK1;0.0007116;#N/A
129;GAB1;0.000708058;x
130;DNMT1;0.000702248;x
131;BUB1;0.000700448;#N/A
132;RPL10;0.000699721;#N/A
133;FGFR2;0.000697247;x
134;EWSR1;0.000693817;x
135;CDC42;0.000688829;x
136;CRK;0.00068795;#N/A
137;TRAF6;0.000687544;#N/A
138;PIP;0.000682081;#N/A
139;KAT5;0.000677445;#N/A
140;PPP1CA;0.000677083;#N/A
141;RBBP7;0.000674655;#N/A
142;SKP1;0.000673815;#N/A
143;TRIM28;0.000673763;#N/A
144;RHOA;0.000672451;x
145;SMARCE1;0.00067222;x
146;RAD21;0.000670286;x
147;ERBB3;0.000670059;x
148;BRAF;0.0006696;x
149;RIPK4;0.000669324;#N/A
150;RPA1;0.000666762;#N/A
151;PPP1CC;0.000662625;#N/A
152;CHD4;0.000659651;x
153;CHEK1;0.000658413;x
154;NFKB2;0.000651508;#N/A
155;NUP107;0.00065058;#N/A
156;FLNA;0.000647192;#N/A
157;YWHAQ;0.000646289;#N/A
158;RXRA;0.000646243;#N/A
159;TERF2;0.00064576;#N/A
160;CTBP1;0.00064428;#N/A
161;RBPJ;0.000641113;#N/A
162;CREB1;0.000641011;x
163;LYN;0.00064024;x
164;CUL3;0.000639954;x
165;AURKA;0.000639189;x
166;CBX5;0.000638548;#N/A
167;KAT2B;0.000636639;#N/A
168;IL6ST;0.000635032;x
169;AXIN1;0.000634708;x
170;VCP;0.000634223;#N/A
171;HNRNPU;0.000632817;#N/A
172;AXIN2;0.000626073;x
173;JAK1;0.000625519;x
174;HDAC4;0.000625515;x
175;RAD51;0.000624167;x
176;SETD2;0.000623818;x
177;KIT;0.000622105;x
178;CDK4;0.000619613;x
179;CBX2;0.000612621;#N/A
180;CCNA2;0.000608463;#N/A
181;MSH2;0.000606562;x
182;IGF1R;0.000602956;x
183;VAV1;0.000599673;x
184;IRS1;0.000598229;x
185;LMNA;0.000597924;x
186;NUP153;0.00059773;#N/A
187;POT1;0.000597003;x
188;CCND1;0.000595179;x
189;NCOR2;0.000594923;#N/A
190;TERF1;0.00058834;#N/A
191;PLK1;0.000587533;#N/A
192;CCNE1;0.000586036;x
193;RAE1;0.000585581;#N/A
194;ACTL6A;0.000583326;#N/A
195;MAPK8;0.000581938;#N/A
196;OGT;0.000580291;#N/A
197;AP2M1;0.00057692;#N/A
198;SIRT1;0.000576325;#N/A
199;PRKDC;0.000575583;x
200;ERBB4;0.000573325;x
201;CSNK2A2;0.000568444;#N/A
202;BCL2;0.000568364;x
203;CCT2;0.00056675;#N/A
204;ATR;0.000564514;x
205;TBP;0.000564306;#N/A
206;LGR5;0.000562787;x
207;TAF1;0.000560881;x
208;PPP2CB;0.000558688;#N/A
209;RNF2;0.000558004;#N/A
210;PPP1CB;0.000555837;#N/A
211;HSPA8;0.000554228;#N/A
212;FANCD2;0.000551628;x
213;VHL;0.000551011;x
214;PIK3CB;0.00054751;x
215;MAP2K2;0.000545888;x
216;KCTD20;0.000543003;#N/A
217;KEAP1;0.000541618;x
218;RARS1;0.000541597;#N/A
219;FANCG;0.000539724;x
220;CBX4;0.000539207;#N/A
221;APC;0.000535641;x
222;RUNX1;0.000533977;x
223;CDK9;0.000533568;#N/A
224;MRPL58;0.000533036;#N/A
225;PSMD2;0.000532243;#N/A
226;YWHAH;0.000532015;#N/A
227;ATAD2;0.000531089;#N/A
228;APP;0.00053066;#N/A
229;ZWINT;0.000528168;#N/A
230;BARD1;0.000527782;x
231;TCF3;0.000525105;x
232;HSPA4;0.000524285;#N/A
233;INSR;0.000522295;x
234;USP7;0.000521649;#N/A
235;ECSIT;0.000518665;x
236;SYK;0.000515539;x
237;KRAS;0.000511804;x
238;GPATCH8;0.000510816;#N/A
239;BRIP1;0.00050913;x
240;FANCA;0.000508296;x
241;EED;0.000508115;x
242;FGF9;0.000506307;x
243;MAP3K7;0.000504522;x
244;SMC3;0.000503669;x
245;PAK2;0.000501451;#N/A
246;LCK;0.000500919;x
247;FGF14;0.000500064;x
248;SUFU;0.00049929;x
249;PPARG;0.000498083;x
250;TOPBP1;0.000497498;#N/A
251;ARAF;0.000492491;x
252;DUSP9;0.000491214;#N/A
253;HGS;0.000488698;#N/A
254;PIK3R4;0.000488265;#N/A
255;NCOA1;0.000487984;#N/A
256;DICER1;0.000486809;x
257;DAXX;0.000483784;x
258;RUVBL1;0.000482838;#N/A
259;NCK2;0.00048248;#N/A
260;BTRC;0.00048115;#N/A
261;PRMT1;0.000480502;#N/A
262;DDX5;0.00048002;x
263;CDK6;0.000479018;x
264;NFKBIA;0.000478239;x
265;RAD54L;0.000472822;#N/A
266;SEH1L;0.000471758;#N/A
267;PAX6;0.000471198;#N/A
268;CUL1;0.000470079;#N/A
269;YY1;0.00046967;x
270;KIF2C;0.000469172;#N/A
271;BRCA2;0.000468158;x
272;CDC37;0.000467581;#N/A
273;PRR14L;0.000467438;#N/A
274;SCN8A;0.000467076;#N/A
275;TRAF1;0.000465383;#N/A
276;MLH1;0.000465082;x
277;ILK;0.000464856;#N/A
278;SFN;0.000464024;#N/A
279;IDE;0.000462241;#N/A
280;CHD3;0.000462108;#N/A
281;SIX3;0.000461736;#N/A
282;EP400;0.000460427;x
283;PSMD14;0.000459385;#N/A
284;ASPSCR1;0.000459226;#N/A
285;PSMD4;0.00045893;#N/A
286;SFPQ;0.000457693;#N/A
287;TERF2IP;0.000456701;#N/A
288;YAP1;0.000455581;x
289;NCK1;0.000454349;#N/A
290;TRRAP;0.000453878;#N/A
291;RPA2;0.000452999;#N/A
292;FOXK2;0.000451893;#N/A
293;USP34;0.000451576;#N/A
294;H2BC1;0.000450467;#N/A
295;LGALS3;0.000447489;#N/A
296;WRN;0.000446908;x
297;CDH1;0.000446608;x
298;DYNLL1;0.000445674;#N/A
299;SMC1A;0.000444493;x
300;SMARCA2;0.000443401;x
301;KDR;0.000441746;x
302;ITGB1;0.000440446;#N/A
303;TNFRSF1A;0.000440278;#N/A
304;CHEK2;0.000439328;x
305;LRP6;0.000439301;x
306;EGF;0.00043898;#N/A
307;MCM5;0.000438619;#N/A
308;ASXL1;0.000436364;x
309;CD274;0.000435549;x
310;MTA1;0.000435472;#N/A
311;PIK3CD;0.000434216;x
312;NKX2-1;0.000433783;x
313;PAK1;0.000432949;x
314;ZBTB16;0.000431719;#N/A
315;PTK7;0.000430683;#N/A
316;TSC2;0.000430463;x
317;PAXIP1;0.000429822;#N/A
318;CDKN1B;0.000429648;x
319;KIF11;0.000428559;#N/A
320;TTI1;0.000428029;#N/A
321;SFRP1;0.000426142;x
322;CASP8;0.000425738;x
323;CRKL;0.000425272;x
324;PSMC5;0.000425118;#N/A
325;TLX3;0.000424591;x
326;CSTF1;0.00042342;#N/A
327;PSMC3;0.000423326;#N/A
328;TUBG1;0.000420646;#N/A
329;PRKACA;0.000420438;x
330;RAD50;0.000418788;x
