No.;Gene name;Score;Oncogene or Tumor Suppresson gene
1;SUMO2;0.00220722;#N/A
2;EGFR;0.001732513;x
3;TP53;0.001713724;x
4;CDC5L;0.001649989;#N/A
5;FN1;0.001598429;#N/A
6;MYC;0.001557281;x
7;SNW1;0.001455268;#N/A
8;VCAM1;0.001366057;#N/A
9;ESR1;0.001240495;x
10;HDAC1;0.001155277;x
11;RIPK4;0.001105289;#N/A
12;HSP90AA1;0.001082618;x
13;GRB2;0.001076979;#N/A
14;YWHAB;0.001005797;#N/A
15;YWHAZ;0.000986508;#N/A
16;ARRB2;0.000969275;#N/A
17;FLNA;0.000940167;#N/A
18;KDM1A;0.000936024;#N/A
19;HNRNPU;0.00093283;#N/A
20;CTNNB1;0.000915543;x
21;EGLN3;0.000879697;#N/A
22;SUMO1;0.000879435;#N/A
23;NPM1;0.00087839;x
24;ILK;0.000866557;#N/A
25;BRCA1;0.000860069;x
26;RPL10;0.000855456;#N/A
27;EP300;0.000827288;x
28;TERF1;0.000819867;#N/A
29;MRPL58;0.000817003;#N/A
30;AR;0.00080631;x
31;CDK2;0.000794493;#N/A
32;TRAF2;0.000787762;#N/A
33;ALB;0.000748265;#N/A
34;IQCB1;0.000743278;#N/A
35;HSP90AB1;0.000729842;#N/A
36;RELA;0.000723525;#N/A
37;YWHAG;0.000720943;#N/A
38;HSPA8;0.00071972;#N/A
39;ARRB1;0.000715739;#N/A
40;MDM2;0.00070457;x
41;MAPK6;0.000690751;#N/A
42;ATF2;0.000687418;#N/A
43;HNRNPA1;0.000682037;#N/A
44;MYH9;0.000680283;#N/A
45;ESR2;0.000678207;#N/A
46;GOLT1B;0.000668054;#N/A
47;IKBKG;0.000667523;#N/A
48;LARP7;0.000663361;#N/A
49;PPP1CA;0.000657365;#N/A
50;POT1;0.000654901;x
51;HDAC2;0.000653756;x
52;SMAD3;0.000652125;x
53;TRAF6;0.000648437;#N/A
54;HIF1AN;0.00063751;#N/A
55;JUN;0.000629543;x
56;CAPZA2;0.000624427;#N/A
57;MAP3K3;0.000622193;#N/A
58;CBX5;0.000621941;#N/A
59;SRC;0.0006194;x
60;OTUB1;0.00061572;#N/A
61;CFTR;0.00061373;#N/A
62;H2AX;0.000611608;#N/A
63;TERF2IP;0.000604451;#N/A
64;CREBBP;0.000600879;x
65;UBE2I;0.000595094;#N/A
66;VCP;0.000589793;#N/A
67;YWHAQ;0.000589185;#N/A
68;VAPA;0.000587521;#N/A
69;CLTC;0.000587139;#N/A
70;EWSR1;0.000580691;x
71;SYNCRIP;0.000575244;#N/A
72;CUL3;0.000574284;x
73;SFN;0.000568087;#N/A
74;PCNA;0.000567981;#N/A
75;PPP1CC;0.000566722;#N/A
76;MDFI;0.00056243;#N/A
77;SKP1;0.000560449;#N/A
78;RB1;0.000555338;x
79;MEPCE;0.00055047;#N/A
80;BTRC;0.000547888;#N/A
81;TRAF1;0.00054735;#N/A
82;TUBA1A;0.000545772;#N/A
83;SUV39H1;0.000540218;#N/A
84;BAG6;0.000539023;#N/A
85;PPP1CB;0.000538371;#N/A
86;CSNK2A2;0.000536839;#N/A
87;NOTCH1;0.000536409;x
88;IQGAP1;0.000535251;x
89;AKT1;0.000534414;x
90;RBPMS;0.00053178;#N/A
91;FBXW11;0.000527577;#N/A
92;CCDC85B;0.000523085;#N/A
93;NOP56;0.000517433;#N/A
94;CUL1;0.000515102;#N/A
95;MPDZ;0.000510447;#N/A
96;DYNLL1;0.000509898;#N/A
97;PLK1;0.000507285;#N/A
98;VHL;0.000507184;x
99;APP;0.000502408;#N/A
100;DBN1;0.000500507;#N/A
101;CSNK2A1;0.000499896;#N/A
102;RUVBL2;0.000496661;#N/A
103;LYPD3;0.000491059;#N/A
104;KANK2;0.000489735;#N/A
105;NEDD8;0.00048899;#N/A
106;YWHAH;0.000487308;#N/A
107;USP7;0.000485674;#N/A
108;LGALS8;0.000484613;#N/A
109;SORT1;0.00048368;#N/A
110;PDLIM7;0.000480764;#N/A
111;PPP2R1A;0.0004758;x
112;H3C2;0.000475688;#N/A
113;MAP1B;0.000473025;#N/A
114;LIMA1;0.000472603;#N/A
115;PEX19;0.000470486;#N/A
116;HNRNPD;0.00046949;#N/A
117;SQSTM1;0.000468085;x
118;ATP2B4;0.000461913;#N/A
