No.;Gene name;Oncogene or Tumor Suppresson gene
1;PNP;#N/A
2;PCDHA4;#N/A
3;GPR161;#N/A
4;ETV4;x
5;CCL17;#N/A
6;RASD2;#N/A
7;CCR3;#N/A
8;ADORA1;#N/A
9;SOX4;#N/A
10;TP53;x
11;CCL11;#N/A
12;CDH3;#N/A
13;CCND1;x
14;PC;#N/A
15;TRHR;#N/A
16;FHOD1;#N/A
17;DPP4;#N/A
18;PSD3;#N/A
19;RXRG;#N/A
20;RAPGEF5;#N/A
21;PRKAR1A;x
22;PIK3CA;x
23;GRB7;x
24;RET;x
25;HIF1A;x
26;CSF2;#N/A
27;CCL2;#N/A
28;FRMD5;#N/A
29;NR2E1;#N/A
30;EPOR;x
31;TSHR;x
32;HRAS;x
33;TIAM1;#N/A
34;PPARG;x
35;BRAF;x
36;MFAP2;#N/A
37;RXRA;#N/A
38;CDKN1B;x
39;IL1B;#N/A
40;MTOR;x
41;CDH1;x
42;IL6;#N/A
43;NRAS;x
44;TNF;#N/A
45;TSC2;x
46;KRAS;x
47;CXCL8;#N/A
48;CXCL10;#N/A
49;PTEN;x
50;EPO;#N/A
51;IFNA2;#N/A
52;TERT;x
53;TCF7L1;#N/A
54;TPR;#N/A
55;NCOA4;#N/A
56;DICER1;x
57;TPM3;#N/A
58;PTGS2;#N/A
59;PDGFA;#N/A
60;PTGES2;#N/A
61;MSH6;x
62;BRD4;x
63;S100A6;#N/A
64;RAP1GAP;#N/A
65;PRDM2;#N/A
66;FXYD3;#N/A
67;WT1;x
68;IGFBP3;#N/A
69;IL1RAP;#N/A
70;RIN1;#N/A
71;NRIP1;#N/A
72;SYT1;#N/A
73;S100B;#N/A
74;BCL2L1;#N/A
75;S100A4;#N/A
76;TGM2;#N/A
77;CCNA1;#N/A
78;CD164L2;#N/A
79;TSC22D1;#N/A
80;NT5E;#N/A
81;FAM171A2;#N/A
82;CDH15;#N/A
83;GFAP;#N/A
84;ESR1;x
85;CD70;x
86;PIK3R1;x
87;CLU;#N/A
88;VCAN;#N/A
89;FOXA3;#N/A
90;SFN;#N/A
91;PDLIM7;#N/A
92;CDH8;#N/A
93;PAX9;#N/A
94;ADRB3;#N/A
95;GRB2;#N/A
96;EMILIN3;#N/A
97;DUSP5;#N/A
98;DCLK3;#N/A
99;ERBB3;x
100;GAPDH;#N/A
101;CDH11;x
102;CABYR;#N/A
103;AKT1;x
104;PTPRU;#N/A
105;GSTA1;#N/A
106;RAB27B;#N/A
107;TYRO3;#N/A
108;MAPK1;x
109;MET;x
110;FN1;#N/A
111;C8B;#N/A
112;SPINT1;#N/A
113;UNC5CL;#N/A
114;SOS1;x
115;COL10A1;#N/A
116;TP63;x
117;RELA;#N/A
118;CDKN2B;x
119;TMEM79;#N/A
120;ACAN;#N/A
121;RAF1;x
122;CDH6;#N/A
123;DAB2IP;#N/A
124;EGFR;x
125;MAPK3;x
126;FAP;#N/A
127;PIK3R2;x
128;PLEKHG4;#N/A
129;COL5A2;#N/A
130;FGFR3;x
131;QSOX1;#N/A
132;ADAM12;#N/A
133;MELTF;#N/A
134;RGS11;#N/A
135;THBS2;#N/A
136;PIK3CB;x
137;DOCK9;#N/A
138;NPY;#N/A
139;JPH3;#N/A
140;CTNNB1;x
141;PIK3R3;x
142;ZHX1;#N/A
143;DPY19L1;#N/A
144;PDLIM1;#N/A
145;UNC5B;#N/A
146;DMBT1;#N/A
147;EP300;x
148;PIK3CD;x
149;MAP2K1;x
150;EPHB3;#N/A
151;VCAM1;#N/A
