No.;Gene name;Oncogene or Tumor Suppresson gene
1;TP53;x
2;PNP;#N/A
3;PCDHA4;#N/A
4;EGFR;x
5;GPR161;#N/A
6;GRB2;#N/A
7;CCR3;#N/A
8;PIK3R1;x
9;MYC;x
10;CCL17;#N/A
11;CTNNB1;x
12;PIK3CA;x
13;ETV4;x
14;FN1;#N/A
15;EP300;x
16;RELA;#N/A
17;AKT1;x
18;VCAM1;#N/A
19;GAPDH;#N/A
20;HSP90AA1;x
21;ESR1;x
22;RASD2;#N/A
23;RAF1;x
24;ZHX1;#N/A
25;MAPK1;x
26;PRKAR1A;x
27;HIF1A;x
28;IKBKG;#N/A
29;SRC;x
30;ADORA1;#N/A
31;HRAS;x
32;HDAC1;x
33;AKR1C1;#N/A
34;CCND1;x
35;YWHAB;#N/A
36;PRKACA;x
37;CCL2;#N/A
38;JUN;x
39;STAT3;x
40;SMAD2;x
41;TRAF2;#N/A
42;CCL11;#N/A
43;RUNX1;x
44;SOX4;#N/A
45;MET;x
46;IKBKB;#N/A
47;DPP4;#N/A
48;CSF2;#N/A
49;PRKACB;#N/A
50;CHUK;#N/A
51;SHC1;#N/A
52;SMAD3;x
53;TRAF6;#N/A
54;TNF;#N/A
55;SNW1;#N/A
56;SUMO2;#N/A
57;CREBBP;x
58;ILK;#N/A
59;PPARG;x
60;MAPK3;x
61;BRAF;x
62;MTOR;x
63;CDH3;#N/A
64;RB1;x
65;GSK3B;x
66;EPOR;x
67;YWHAZ;#N/A
68;RXRA;#N/A
69;JAK2;x
70;PIK3R2;x
71;SOS1;x
72;MDM2;x
73;NRAS;x
74;PLCG1;x
75;PC;#N/A
76;PTPN11;x
77;NFKB1;#N/A
78;ALDOA;#N/A
79;CDKN1B;x
80;MAP2K1;x
81;MAPK14;#N/A
82;TRHR;#N/A
83;FHOD1;#N/A
84;CDH1;x
85;BCL2L1;#N/A
86;TSHR;x
87;DNAJA1;#N/A
88;CDKN1A;x
89;IQGAP1;x
90;VCAN;#N/A
91;TNFRSF1A;#N/A
92;ADAMTS1;#N/A
93;ERBB3;x
94;CXCL8;#N/A
95;CDK2;#N/A
96;HDAC2;x
97;ARRB2;#N/A
98;IL6;#N/A
99;PSD3;#N/A
100;HSP90AB1;#N/A
101;KRAS;x
102;CDC5L;#N/A
103;AR;x
104;ACP2;#N/A
105;CBL;x
106;PTEN;x
107;PSMD1;#N/A
108;ATF2;#N/A
109;RXRG;#N/A
110;IL1B;#N/A
111;NR4A1;#N/A
112;BCL2;x
113;TERT;x
114;TSC2;x
115;FOS;#N/A
116;RET;x
117;NOTCH1;x
118;IL1RAP;#N/A
119;JAK1;x
120;FLNA;#N/A
121;GRB7;x
122;CDC42;x
123;ERBB2;x
124;RAPGEF5;#N/A
125;SYT1;#N/A
126;KDM1A;#N/A
127;NRIP1;#N/A
128;MAPK8;#N/A
129;PPP1CA;#N/A
130;FYN;x
131;S100A6;#N/A
132;ITGB1;#N/A
133;RAC1;x
134;PDGFRB;x
135;S100B;#N/A
136;ALB;#N/A
137;CCL5;#N/A
138;IFNA2;#N/A
139;HECTD1;#N/A
140;DOCK9;#N/A
141;PIK3R3;x
142;IFNA5;#N/A
143;MAP3K7;x
144;CXCL10;#N/A
145;CUL3;x
146;TCF7L1;#N/A
147;DICER1;x
148;NR2E1;#N/A
149;RIPK4;#N/A
150;CD1B;#N/A
151;TIAM1;#N/A
152;SUMO1;#N/A
153;PTK2;#N/A
154;VHL;x
155;CLU;#N/A
156;TPR;#N/A
157;CREB1;x
158;BRCA1;x
159;TPM3;#N/A
160;NFKBIA;x
161;SERPINE1;#N/A
162;FRMD5;#N/A
163;STAT1;#N/A
164;MYH9;#N/A
165;PTGES2;#N/A
166;PTGS2;#N/A
167;ARRB1;#N/A
168;TGM2;#N/A
169;BRD4;x
170;YWHAG;#N/A
171;MFAP2;#N/A
172;CASP8;x
173;CCL22;#N/A
174;MSH6;x
175;RIN1;#N/A
176;FGFR3;x
177;NCOA4;#N/A
178;RIPK1;#N/A
179;SKP1;#N/A
180;WT1;x
181;RPL10;#N/A
182;PPP2R1A;x
183;IGFBP3;#N/A
184;MYD88;x
185;TSC22D1;#N/A
186;EPO;#N/A
187;PDGFA;#N/A
188;UBE2I;#N/A
189;PPP2CA;#N/A
