No.;Gene name;Oncogene or Tumor Suppresson gene
1;SUMO2;#N/A
2;EGFR;x
3;TP53;x
4;FN1;#N/A
5;CDC5L;#N/A
6;MYC;x
7;VCAM1;#N/A
8;ARRB2;#N/A
9;SNW1;#N/A
10;ESR1;x
11;CREB1;x
12;CUL3;x
13;GRB2;#N/A
14;CREBBP;x
15;PRPF40A;#N/A
16;HSP90AA1;x
17;HDAC1;x
18;RNF111;#N/A
19;YWHAB;#N/A
20;YWHAZ;#N/A
21;EP300;x
22;SETD2;x
23;TNKS2;#N/A
24;ATF2;#N/A
25;RIPK4;#N/A
26;ALB;#N/A
27;ZFR;#N/A
28;STAG1;x
29;CTNNB1;x
30;PTPN11;x
31;SCAF11;#N/A
32;KDM1A;#N/A
33;ITCH;#N/A
34;FBXW11;#N/A
35;FBXO11;x
36;TERF1;#N/A
37;BOD1L1;#N/A
38;TMF1;#N/A
39;PRPF4B;#N/A
40;SEC24B;#N/A
41;TAF1;x
42;TAF2;#N/A
43;PRKDC;x
44;RSF1;#N/A
45;ZRANB1;#N/A
46;SCAF8;#N/A
47;BIRC6;#N/A
48;POLR2B;#N/A
49;UBE3A;#N/A
50;UBR1;#N/A
51;WDFY3;#N/A
52;CLTC;#N/A
53;CNOT1;#N/A
54;LTN1;#N/A
55;DHX36;#N/A
56;UBR5;x
57;MED1;#N/A
58;PIKFYVE;#N/A
59;HECTD1;#N/A
60;NUP153;#N/A
61;LATS1;x
62;USP34;#N/A
63;HNRNPU;#N/A
64;TCF12;#N/A
65;BPTF;#N/A
66;RBL2;#N/A
67;IREB2;#N/A
68;APPBP2;#N/A
69;CCNT1;#N/A
70;SOS1;x
71;HUWE1;#N/A
72;PBRM1;x
73;AFF4;x
74;SMARCAD1;#N/A
75;MFAP3;#N/A
76;RB1CC1;#N/A
77;MRPL58;#N/A
78;STAG2;x
79;SP3;#N/A
80;CDC40;#N/A
81;CDK12;x
82;IQCB1;#N/A
83;EGLN3;#N/A
84;PKN2;#N/A
85;GTF2I;x
86;IQGAP1;x
87;TRAF2;#N/A
88;DHX9;#N/A
89;MAP3K2;#N/A
90;TAOK1;#N/A
91;MKLN1;#N/A
92;VHL;x
93;CSNK1A1;#N/A
94;BRCA1;x
95;ANKRD17;#N/A
96;ARIH1;#N/A
97;KDM3B;#N/A
98;CUL5;#N/A
99;SUMO1;#N/A
100;FLNA;#N/A
101;ARRB1;#N/A
102;ASXL2;x
103;YAP1;x
104;TRIP11;#N/A
105;WAPL;#N/A
106;APC;x
107;BBX;#N/A
108;CDK2;#N/A
109;ZC3H14;#N/A
110;SMC3;x
111;NPM1;x
112;RUVBL2;#N/A
113;DYNC1LI2;#N/A
114;CEP350;#N/A
115;NSD3;#N/A
116;PCM1;#N/A
117;USP1;x
118;KAT6A;#N/A
119;NIPBL;#N/A
120;CHD9;#N/A
121;MYH9;#N/A
122;POT1;x
123;PPP1CA;#N/A
124;RPL10;#N/A
125;RANBP2;x
126;HEATR5B;#N/A
127;NCOA2;#N/A
128;DHX15;#N/A
129;PHF3;#N/A
130;EPC2;#N/A
131;USP8;x
132;SON;#N/A
133;MED23;#N/A
134;TRIP12;#N/A
135;SMARCA5;#N/A
136;SIRT1;#N/A
137;VPS13B;#N/A
138;ADNP;#N/A
139;AR;x
140;VPS4B;#N/A
141;ZNF41;#N/A
142;FOXJ3;#N/A
143;UBXN7;#N/A
144;KLHL9;#N/A
145;ATRX;x
146;BCLAF1;#N/A
147;CFTR;#N/A
148;PSMC5;#N/A
149;PPM1A;#N/A
