No.;Gene name;Oncogene or Tumor Suppresson gene
1;EGFR;x
2;CTNNB1;x
3;MYC;x
4;GRB2;#N/A
5;AKT1;x
6;PIK3R1;x
7;TP53;x
8;RAF1;x
9;FN1;#N/A
10;SUMO2;#N/A
11;MAPK1;x
12;ALB;#N/A
13;EP300;x
14;ERBB2;x
15;SRC;x
16;HSP90AA1;x
17;ESR1;x
18;SHC1;#N/A
19;NPM1;x
20;CREBBP;x
21;MAPK14;#N/A
22;YWHAB;#N/A
23;MAPK3;x
24;SNW1;#N/A
25;MAP2K1;x
26;CDC5L;#N/A
27;APOA1;#N/A
28;SOS1;x
29;SOX2;x
30;PIK3CA;x
31;BRAF;x
32;FGFR4;x
33;HDAC1;x
34;SFN;#N/A
35;ARRB2;#N/A
36;VCAM1;#N/A
37;PLCG1;x
38;CDK2;#N/A
39;RPL10;#N/A
40;HSP90AB1;#N/A
41;HSPB1;#N/A
42;HRAS;x
43;FGFR3;x
44;BRCA1;x
45;RELA;#N/A
46;YWHAZ;#N/A
47;MDM2;x
48;SNRPG;#N/A
49;LMNA;x
50;ALDOA;#N/A
51;NOP56;#N/A
52;PIK3R2;x
53;SUMO1;#N/A
54;FYN;x
55;HNRNPA1;#N/A
56;MTA1;#N/A
57;TF;#N/A
58;ATF2;#N/A
59;H2AX;#N/A
60;PTK2;#N/A
61;TRAF2;#N/A
62;MET;x
63;STAT3;x
64;JUN;x
65;FGF19;x
66;IKBKG;#N/A
67;HNRNPU;#N/A
68;ATM;x
69;RB1;x
70;ARAF;x
71;MAP2K2;x
72;TP63;x
73;MRPL58;#N/A
74;SMAD3;x
75;FGFR1;x
76;GSK3B;x
77;KRAS;x
78;RPL7L1;#N/A
79;PCNA;#N/A
80;FGFR2;x
81;ARRB1;#N/A
82;GRB7;x
83;KDR;x
84;FGF1;x
85;CBL;x
86;UBE2I;#N/A
87;CHUK;#N/A
88;PTPN11;x
89;TERF1;#N/A
90;ALOX5;#N/A
91;GAPDH;#N/A
92;IQGAP1;x
93;CCT5;#N/A
94;RIPK4;#N/A
95;HDAC2;x
96;EPHA3;x
97;TRAF6;#N/A
98;TPI1;#N/A
99;APC;x
100;CDC37;#N/A
101;XRCC5;#N/A
102;IKBKB;#N/A
103;ESR2;#N/A
104;PIK3R3;x
105;JAK2;x
106;INSR;x
107;GAB1;x
108;CRK;#N/A
109;CDK4;x
110;AP2M1;#N/A
111;FBL;#N/A
112;MLH1;x
113;PDGFRB;x
114;EGLN3;#N/A
115;AR;x
116;MAPK6;#N/A
117;SKP1;#N/A
