No.;Gene name;Oncogene or Tumor Suppresson gene
1;CTNNB1;x
2;EGFR;x
3;TP53;x
4;EP300;x
5;MYC;x
6;SUMO2;#N/A
7;RELA;#N/A
8;HDAC1;x
9;TRIM28;#N/A
10;WIF1;x
11;ESR1;x
12;FN1;#N/A
13;AKT1;x
14;PIK3R1;x
15;GRB2;#N/A
16;SMAD3;x
17;ABCA1;#N/A
18;SNW1;#N/A
19;PYCARD;#N/A
20;WNT11;#N/A
21;HSP90AA1;x
22;VCAM1;#N/A
23;JUN;x
24;TRAF2;#N/A
25;CFTR;#N/A
26;ABCA12;#N/A
27;CDC5L;#N/A
28;SRC;x
29;CDH7;#N/A
30;AR;x
31;SMAD4;x
32;CREBBP;x
33;CASP8;x
34;NPM1;x
35;IKBKG;#N/A
36;SUMO1;#N/A
37;ATF2;#N/A
38;EGLN3;#N/A
39;KDM1A;#N/A
40;MDM2;x
41;YWHAB;#N/A
42;CBX5;#N/A
43;GAPDH;#N/A
44;HDAC2;x
45;DPF2;#N/A
46;SMAD2;x
47;UBE2I;#N/A
48;TRAF6;#N/A
49;IL6ST;x
50;BRCA1;x
51;ESR2;#N/A
52;SOX1;#N/A
53;GSK3B;x
54;RIPK4;#N/A
55;NFKB1;#N/A
56;PTK7;#N/A
57;ARMC2;#N/A
58;RAF1;x
59;BTRC;#N/A
60;PIK3CA;x
61;MAPK1;x
62;TNF;#N/A
63;IKBKB;#N/A
64;RB1;x
65;MAGEC2;#N/A
66;HAX1;#N/A
67;PCDHA4;#N/A
68;CMTM8;#N/A
69;MEGF6;#N/A
70;COL9A3;#N/A
71;HIF1AN;#N/A
72;STAT3;x
73;WNT7A;#N/A
74;CHUK;#N/A
75;BCL2;x
76;CTBP1;#N/A
77;YWHAZ;#N/A
78;ALB;#N/A
79;ZNRF3;x
80;ILK;#N/A
81;WNT5A;#N/A
82;TNFRSF1A;#N/A
83;CDH1;x
84;NOTCH1;x
85;PTK2;#N/A
86;SP1;#N/A
87;PARP1;x
88;CDK2;#N/A
89;APC;x
90;IQCB1;#N/A
91;AURKA;x
92;RPL10;#N/A
93;MAPK3;x
94;RIPK1;#N/A
95;HSP90AB1;#N/A
96;HIF1A;x
97;HNRNPU;#N/A
98;TERF1;#N/A
99;YAP1;x
100;RUVBL2;#N/A
101;BRAF;x
102;SMARCA4;x
103;MYH9;#N/A
104;ARRB2;#N/A
105;PIK3R2;x
106;FLNA;#N/A
107;LGALS3;#N/A
108;PTCH1;x
109;PCNA;#N/A
110;VCAN;#N/A
111;KDR;x
112;TGFBR1;x
113;MRPL58;#N/A
114;IRAK1;#N/A
115;HSPA8;#N/A
116;PPARG;x
117;ERBB2;x
118;APOA1;#N/A
119;TLR4;#N/A
120;TLR2;#N/A
121;SPATA2;#N/A
122;RNPS1;#N/A
123;MMP2;#N/A
124;MLH1;x
125;RARA;#N/A
126;SKP1;#N/A
127;OTUB1;#N/A
128;SPEN;x
129;HDAC3;#N/A
130;TP63;x
131;POLD1;x
132;APP;#N/A
133;MAPK6;#N/A
134;TCF7;#N/A
135;MET;x
136;MMP3;#N/A
137;PPP1CA;#N/A
138;AXIN1;x
139;CBX3;#N/A
140;EMD;#N/A
141;RET;x
142;BUB1B;x
143;MAPK14;#N/A
144;PLCG1;x
145;MAPK8;#N/A
146;CBL;x
147;AXIN2;x
148;NR3C1;#N/A
149;GOLT1B;#N/A
150;CAPZA2;#N/A
151;BUB1;#N/A
152;PPP2R1A;x
153;RBPJ;#N/A
154;CSNK2A1;#N/A
155;SHH;#N/A
156;VHL;x
157;SQSTM1;x
158;POT1;x
159;FOS;#N/A
160;MAP3K7;x
161;ACTB;#N/A
162;SUV39H1;#N/A
163;IGF2;x
164;CALR;x
165;H2AX;#N/A
166;FGFR3;x
167;LARP7;#N/A
168;KRAS;x
169;FADD;#N/A
170;SHC1;#N/A
171;MCOLN3;#N/A
172;PLK1;#N/A
173;PPP2CA;#N/A
174;GSTM3;#N/A
175;LPAR1;#N/A
176;GNB4;#N/A
177;LGR5;x
178;SIRT1;#N/A
179;YWHAG;#N/A
180;XPO1;x
181;CXCL8;#N/A
182;PPP1CB;#N/A
183;PTPN11;x
184;FHL3;#N/A
185;FOXL2;x
186;ARRB1;#N/A
187;GATA4;x
188;COMP;#N/A
189;ACTBL2;#N/A
190;FBXW11;#N/A
191;PACS2;#N/A
192;IGFBP3;#N/A
193;BRF1;#N/A
194;TERF2IP;#N/A
195;FEN1;#N/A
196;STAT1;#N/A
197;LIF;#N/A
198;RPF2;#N/A
199;HSPD1;#N/A
200;LEF1;x
201;YWHAQ;#N/A
202;CREB1;x
203;TNFSF10;#N/A
204;VIM;#N/A
205;DDX19B;#N/A
206;MMP1;#N/A
207;SFRP1;x
208;BMP2;#N/A
209;SERPINB5;#N/A
210;EIF3H;#N/A
211;POU3F2;x
212;EFEMP1;#N/A
213;HHIP;#N/A
214;MTDH;#N/A
215;ATM;x
216;SPARC;#N/A
217;RXRA;#N/A
218;SIX4;#N/A
219;NME1;#N/A
220;ADH1B;#N/A
221;BIRC5;#N/A
222;JAK2;x
223;CDKN1A;x
224;PCSK1;#N/A
225;TF;#N/A
226;SMAD9;#N/A
