No.;Gene name;Oncogene or Tumor Suppresson gene
1;SUMO2;#N/A
2;EGFR;x
3;FN1;#N/A
4;TP53;x
5;ESR1;x
6;VCAM1;#N/A
7;CDC5L;#N/A
8;MYC;x
9;SNW1;#N/A
10;CREB1;x
11;ATF2;#N/A
12;ATM;x
13;CUL5;#N/A
14;RIPK4;#N/A
15;GRB2;#N/A
16;HDAC1;x
17;YWHAZ;#N/A
18;RICTOR;x
19;HSP90AA1;x
20;YWHAB;#N/A
21;ZDHHC17;#N/A
22;BCLAF1;#N/A
23;PIKFYVE;#N/A
24;PIK3C2A;#N/A
25;MAP3K2;#N/A
26;TRAF6;#N/A
27;PIK3CA;x
28;PPP1CB;#N/A
29;AGO3;#N/A
30;MATR3;#N/A
31;TRIM33;#N/A
32;POLK;#N/A
33;ARRB2;#N/A
34;LATS1;x
35;CTNNB1;x
36;NPAT;#N/A
37;PHIP;#N/A
38;RIF1;#N/A
39;HNRNPU;#N/A
40;TERF1;#N/A
41;RBPJ;#N/A
42;EPS15;#N/A
43;AFF4;x
44;MRPL58;#N/A
45;KDM1A;#N/A
46;ZNF148;#N/A
47;TCF4;#N/A
48;TAOK1;#N/A
49;ACAP2;#N/A
50;NPM1;x
51;STRN;#N/A
52;IL6ST;x
53;DCP2;#N/A
54;USP34;#N/A
55;REST;x
56;ZYG11B;#N/A
57;ZNF451;#N/A
58;MON2;#N/A
59;ZNF644;#N/A
60;MAP3K7;x
61;MBNL1;#N/A
62;WDFY3;#N/A
63;NR3C1;#N/A
64;CHD9;#N/A
65;SCAF11;#N/A
66;LCOR;#N/A
67;BRAF;x
68;SENP6;#N/A
69;DHX36;#N/A
70;CBL;x
71;SGTB;#N/A
72;OTUD4;#N/A
73;RUFY2;#N/A
74;HIPK3;#N/A
75;SLC4A7;#N/A
76;MKLN1;#N/A
77;RPL10;#N/A
78;CLASP2;#N/A
79;ZFYVE16;#N/A
80;PTPN4;#N/A
81;EP300;x
82;ERCC6;#N/A
83;JMJD1C;#N/A
84;CENPC;#N/A
85;SNTB2;#N/A
86;RC3H1;#N/A
87;CDK17;#N/A
88;TNKS2;#N/A
89;UBXN7;#N/A
90;ZBTB44;#N/A
91;TNPO1;#N/A
92;EVI5;#N/A
93;PTEN;x
94;SMG1;x
95;RSF1;#N/A
96;RPAP2;#N/A
97;USP37;#N/A
98;FOXN2;#N/A
99;SREK1;#N/A
100;SUMO1;#N/A
101;MED13;#N/A
102;BRCA1;x
103;MYO9A;#N/A
104;HERC4;#N/A
105;SOS1;x
106;FBXO11;x
107;XRN1;#N/A
108;CCNT2;#N/A
109;NF1;x
110;ZNF292;x
111;SMAD2;x
112;XPO1;x
113;USP45;#N/A
114;ESR2;#N/A
115;POU2F1;#N/A
116;BMPR2;#N/A
117;SCLT1;#N/A
118;ARID2;x
119;POT1;x
120;DCUN1D1;x
121;FRS2;x
122;RC3H2;#N/A
123;ABL2;x
124;CEP350;#N/A
125;BRWD1;#N/A
126;FNIP1;#N/A
127;BBX;#N/A
128;CNOT6L;#N/A
129;DNAJB14;#N/A
130;EGLN3;#N/A
131;USP15;#N/A
132;PPP1R12A;#N/A
133;ARIH1;#N/A
134;NUFIP2;#N/A
135;LNPEP;#N/A
136;SHOC2;x
137;DMXL1;#N/A
138;PHC3;#N/A
139;CBX5;#N/A
140;RO60;#N/A
141;RNF169;#N/A
142;ALB;#N/A
143;MAN1A2;#N/A
144;ATXN1;#N/A
145;VPS13B;#N/A
146;UBR3;#N/A
147;GDAP2;#N/A
148;VIM;#N/A
